variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
u1,0,400,6095,26.440689089,0,1638400,209728468,209728625
u1,1,400,4571,65.143513454,0,1638400,209728687,209728984
u1,2,400,4389,65.248348143,0,1638400,209729031,209729312
u1,3,400,5724,34.647099930,0,1638400,209729359,209729562
u1,4,400,4637,34.194306664,0,1638400,209729593,209729765
u1,5,400,3258,64.016881522,0,1638400,209729812,209730015
u1,6,400,3474,45.523603915,0,1638400,209730046,209730203
u1,7,400,3364,36.043697979,0,1638400,209730234,209730359
u2,0,400,4671,36.553414686,0,1638400,209730390,209730562
u2,1,400,5981,32.054171543,0,1638400,209730625,209730812
u2,2,400,6072,34.575428195,0,1638400,209730859,209731062
u2,3,400,5904,33.335704607,0,1638400,209731125,209731328
u2,4,400,4030,33.938213400,0,1638400,209731359,209731500
u2,5,400,3747,36.269815853,0,1638400,209731515,209731656
u2,6,400,2811,32.470651014,0,1638400,209731687,209731765
u2,7,400,6142,33.657766200,0,1638400,209731828,209732031
u4,0,400,6060,33.366666667,0,1638400,209732078,209732281
u4,1,400,6324,31.496521189,0,1638400,209732328,209732531
u4,2,400,6361,31.580254677,0,1638400,209732578,209732781
u4,3,400,4030,32.030769231,0,1638400,209732812,209732937
u4,4,400,4726,32.163986458,0,1638400,209732984,209733140
u4,5,400,3955,35.047534766,0,1638400,209733171,209733312
u4,6,400,5254,32.552531405,0,1638400,209733359,209733531
u4,7,400,3539,33.116134501,0,1638400,209733562,209733671
u8,0,400,6060,34.630198020,0,1638400,209733734,209733937
u8,1,400,6311,30.748534305,0,1638400,209733984,209734187
u8,2,400,3936,32.028963415,0,1638400,209734218,209734343
u8,3,400,3960,34.795202020,0,1638400,209734375,209734500
u8,4,400,2517,31.002383790,0,1638400,209734531,209734609
u8,5,400,4010,29.813216958,0,1638400,209734640,209734765
u8,6,400,4630,28.417278618,0,1638400,209734796,209734921
u8,7,400,3960,40.533838384,0,1638400,209734953,209735125
u16,0,400,4992,36.512019231,0,1638400,209735156,209735343
u16,1,400,6095,28.549466776,0,1638400,209735390,209735562
u16,2,400,6250,29.047520000,0,1638400,209735609,209735796
u16,3,400,6142,36.591989580,0,1638400,209735843,209736078
u16,4,400,6095,32.527317473,0,1638400,209736125,209736328
u16,5,400,6374,28.200502040,0,1638400,209736375,209736546
u16,6,400,3955,29.239696587,0,1638400,209736578,209736687
u16,7,400,3878,39.335482207,0,1638400,209736734,209736875
group4,0,400,4188,36.204154728,0,1638400,209736937,209737078
group4,1,400,3567,26.869638352,0,1638400,209737109,209737203
group4,2,400,2675,29.589532710,0,1638400,209737234,209737312
group4,3,400,6625,32.538566038,0,1638400,209737359,209737578
group4,4,400,6130,36.594127243,0,1638400,209737625,209737843
group4,5,400,3615,32.023789765,0,1638400,209737875,209738000
group4,6,400,6142,30.703516770,0,1638400,209738046,209738234
group4,7,400,6374,36.961876373,0,1638400,209738281,209738515
group8,0,400,3786,38.389329107,0,1638400,209738546,209738687
group8,1,400,3800,28.743421053,0,1638400,209738718,209738828
group8,2,400,6311,30.980510220,0,1638400,209738875,209739078
group8,3,400,3782,31.683236383,0,1638400,209739109,209739218
group8,4,400,6530,33.849004594,0,1638400,209739281,209739500
group8,5,400,5693,33.412787634,0,1638400,209739546,209739734
group8,6,400,3907,28.290248272,0,1638400,209739781,209739890
group8,7,400,5734,34.631321939,0,1638400,209739937,209740125
nmajor,0,400,5055,34.036201780,0,1638400,209740171,209740343
nmajor,1,400,6213,36.133912764,0,1638400,209740406,209740625
nmajor,2,400,5228,36.636189748,0,1638400,209740671,209740859
nmajor,3,400,3897,39.113933795,0,1638400,209740890,209741046
nmajor,4,400,3874,38.779039752,0,1638400,209741078,209741234
nmajor,5,400,3804,35.895110410,0,1638400,209741265,209741406
nmajor,6,400,5704,33.957573633,0,1638400,209741453,209741656
nmajor,7,400,3485,31.546915352,0,1638400,209741671,209741781
token_fixed,0,400,6106,31.388634130,0,1638400,209741828,209742031
token_fixed,1,400,3076,36.258127438,0,1638400,209742046,209742171
token_fixed,2,400,6015,32.508894431,0,1638400,209742218,209742406
token_fixed,3,400,6153,31.242320819,0,1638400,209742468,209742656
token_fixed,4,400,6262,31.172468860,0,1638400,209742703,209742906
token_fixed,5,400,6597,31.823556162,0,1638400,209742968,209743171
token_fixed,6,400,3340,34.420359281,0,1638400,209743203,209743312
token_fixed,7,400,5360,34.366791045,0,1638400,209743359,209743546
m2,0,400,4481,28.611916983,0,1638400,209743578,209743703
m2,1,400,6517,30.812490410,0,1638400,209743734,209743937
m2,2,400,4045,30.034857849,0,1638400,209743968,209744093
m2,3,400,3864,31.227484472,0,1638400,209744125,209744250
m2,4,400,5369,39.266716335,0,1638400,209744296,209744500
m2,5,400,6625,29.871094340,0,1638400,209744562,209744750
m2,6,400,6374,29.504706621,0,1638400,209744796,209744984
m2,7,400,3760,43.880319149,0,1638400,209745031,209745187
