frame,end_tick_ms,wall_ms
0,171441281,1270.345000000
1,171441375,20.634000000
2,171441390,19.459000000
3,171441406,18.325000000
4,171441421,18.416000000
5,171441453,18.414000000
6,171441468,18.408000000
7,171441484,18.363000000
8,171441500,18.461000000
9,171441531,18.253000000
10,171441546,18.460000000
11,171441562,18.672000000
12,171441578,18.697000000
13,171441609,19.041000000
14,171441625,19.073000000
15,171441640,19.072000000
16,171441656,18.305000000
17,171441687,18.381000000
18,171441703,18.447000000
19,171441718,18.508000000
20,171441734,18.512000000
21,171441750,18.372000000
22,171441781,18.414000000
23,171441796,18.505000000
24,171441812,18.557000000
25,171441828,18.408000000
26,171441859,18.330000000
27,171441875,18.457000000
28,171441890,18.399000000
29,171441906,18.356000000
30,171441937,18.450000000
31,171441953,18.456000000
32,171441968,18.327000000
33,171441984,18.389000000
34,171442000,18.787000000
35,171442031,18.530000000
36,171442046,18.650000000
37,171442062,18.674000000
38,171442078,19.042000000
39,171442093,18.637000000
40,171442125,18.538000000
41,171442140,18.539000000
42,171442156,18.848000000
43,171442171,18.887000000
44,171442203,18.619000000
45,171442218,18.739000000
46,171442234,18.925000000
47,171442250,18.738000000
48,171442265,18.528000000
49,171442296,18.587000000
50,171442312,18.464000000
51,171442328,18.515000000
52,171442343,18.715000000
53,171442375,18.782000000
54,171442390,18.636000000
55,171442406,18.783000000
56,171442421,18.839000000
57,171442437,18.635000000
58,171442468,18.659000000
59,171442484,18.595000000
60,171442500,18.730000000
61,171442515,18.616000000
62,171442546,18.739000000
63,171442562,18.799000000
64,171442578,18.700000000
65,171442593,18.646000000
66,171442609,18.634000000
67,171442640,18.868000000
68,171442656,18.710000000
69,171442671,18.676000000
70,171442687,18.698000000
71,171442718,18.630000000
72,171442734,18.592000000
73,171442750,18.747000000
74,171442765,18.686000000
75,171442781,18.657000000
76,171442812,18.672000000
77,171442828,18.654000000
78,171442843,18.586000000
79,171442859,18.614000000
80,171442890,18.638000000
81,171442906,18.739000000
82,171442921,18.630000000
83,171442937,18.761000000
84,171442953,18.711000000
85,171442984,18.613000000
86,171443000,18.647000000
87,171443015,18.778000000
88,171443031,18.700000000
89,171443062,18.628000000
90,171443078,18.532000000
91,171443093,18.653000000
92,171443109,18.604000000
93,171443125,18.720000000
94,171443156,18.723000000
95,171443171,18.739000000
96,171443187,18.920000000
97,171443203,18.571000000
98,171443218,18.600000000
99,171443250,18.566000000
100,171443265,18.679000000
101,171443281,18.593000000
102,171443296,18.603000000
103,171443328,18.657000000
104,171443343,18.689000000
105,171443359,18.489000000
106,171443375,18.703000000
107,171443390,18.692000000
108,171443421,18.704000000
109,171443437,19.108000000
110,171443453,18.649000000
111,171443468,18.780000000
112,171443500,18.670000000
