repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,5,0,0,200,16.582740000,7200,0
0,5,1,5,200,16.126415000,7200,4000
0,5,2,5,200,16.131635000,7200,4000
0,5,3,0,200,16.651210000,7200,0
1,5,0,0,200,16.655690000,7200,0
1,5,1,5,200,16.139515000,7200,4000
1,5,2,5,200,16.163765000,7200,4000
1,5,3,0,200,16.670050000,7200,0
2,5,0,0,200,16.671340000,7200,0
2,5,1,5,200,16.175145000,7200,4000
2,5,2,5,200,16.170480000,7200,4000
2,5,3,0,200,16.703000000,7200,0
