frame,enqueue_ms,wait_ms,total_ms
0,0.581000000,17.871000000,18.452000000
1,0.451000000,17.890000000,18.341000000
2,0.429000000,17.963000000,18.392000000
3,0.471000000,17.907000000,18.378000000
4,0.420000000,17.926000000,18.346000000
5,0.478000000,17.957000000,18.435000000
6,0.481000000,17.915000000,18.396000000
7,0.474000000,18.025000000,18.499000000
8,0.436000000,17.868000000,18.304000000
9,0.445000000,17.912000000,18.357000000
10,0.486000000,17.907000000,18.393000000
11,0.456000000,17.908000000,18.364000000
12,0.496000000,17.918000000,18.414000000
13,0.446000000,17.920000000,18.366000000
14,0.460000000,17.893000000,18.353000000
15,0.422000000,17.965000000,18.387000000
16,0.422000000,17.939000000,18.361000000
17,0.621000000,17.856000000,18.477000000
18,0.446000000,17.956000000,18.402000000
19,0.447000000,17.924000000,18.371000000
20,0.445000000,17.947000000,18.392000000
21,0.408000000,18.019000000,18.427000000
22,0.443000000,17.976000000,18.420000000
23,0.464000000,17.982000000,18.446000000
24,0.504000000,17.918000000,18.422000000
25,0.449000000,17.892000000,18.341000000
26,0.450000000,17.954000000,18.404000000
27,0.470000000,17.925000000,18.395000000
28,0.483000000,17.925000000,18.408000000
29,0.507000000,17.893000000,18.400000000
30,0.486000000,17.989000000,18.475000000
31,0.431000000,17.893000000,18.324000000
32,0.436000000,18.006000000,18.442000000
33,0.527000000,17.827000000,18.354000000
34,0.424000000,18.167000000,18.591000000
35,0.491000000,17.909000000,18.400000000
36,0.438000000,17.966000000,18.404000000
37,0.456000000,17.931000000,18.387000000
38,0.457000000,17.938000000,18.395000000
39,0.451000000,17.942000000,18.393000000
40,0.452000000,17.939000000,18.391000000
41,0.454000000,17.896000000,18.351000000
42,0.430000000,17.943000000,18.373000000
43,0.434000000,18.113000000,18.547000000
44,0.432000000,17.983000000,18.415000000
45,0.417000000,17.882000000,18.299000000
46,0.422000000,17.905000000,18.327000000
47,0.413000000,18.001000000,18.414000000
48,0.379000000,17.967000000,18.346000000
49,0.483000000,17.909000000,18.392000000
50,0.426000000,18.113000000,18.539000000
51,0.568000000,17.855000000,18.423000000
52,0.423000000,17.962000000,18.385000000
53,0.413000000,18.093000000,18.507000000
54,0.407000000,18.219000000,18.626000000
55,0.413000000,18.041000000,18.454000000
56,0.427000000,17.984000000,18.411000000
57,0.413000000,18.085000000,18.498000000
58,0.527000000,17.993000000,18.520000000
59,0.433000000,17.911000000,18.344000000
60,0.416000000,17.849000000,18.265000000
61,0.673000000,17.904000000,18.577000000
62,0.434000000,18.066000000,18.501000000
63,0.456000000,17.988000000,18.444000000
