variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
work1,0,400,3140,26.103821656,0,1638400,213723109,213723187
work1,1,400,14159,30.989194152,0,1638400,213723296,213723734
work1,2,400,8101,31.571781262,0,1638400,213723781,213724046
work1,3,400,9343,36.325270256,0,1638400,213724109,213724453
work1,4,400,7565,39.782286847,0,1638400,213724515,213724812
work1,5,400,7565,34.739061467,0,1638400,213724906,213725171
work1,6,400,7891,36.817386896,0,1638400,213725234,213725531
work1,7,400,7087,35.612812191,0,1638400,213725593,213725843
work2,0,400,11678,35.415910259,0,1638400,213725953,213726359
work2,1,400,6003,85.557054806,0,1638400,213726484,213727000
work2,2,400,6523,83.766518473,0,1638400,213727093,213727640
work2,3,400,11743,33.696244571,0,1638400,213727734,213728125
work2,4,400,10738,35.347550754,0,1638400,213728218,213728609
work2,5,400,6537,84.856203151,0,1638400,213728750,213729296
work2,6,400,5683,86.731831779,0,1638400,213729421,213729921
work2,7,400,6926,33.735056310,0,1638400,213729968,213730203
work4,0,400,8510,35.043360752,0,1638400,213730281,213730578
work4,1,400,5250,107.625333333,0,1638400,213730718,213731281
work4,2,400,5507,108.036135827,0,1638400,213731437,213732031
work4,3,400,6708,33.855992844,0,1638400,213732078,213732312
work4,4,400,13445,33.778430643,0,1638400,213732421,213732875
work4,5,400,4295,100.544586729,0,1638400,213732984,213733406
work4,6,400,4386,95.819881441,0,1638400,213733531,213733953
work4,7,400,13168,35.788502430,0,1638400,213734062,213734546
work8,0,400,12903,35.506083856,0,1638400,213734640,213735109
work8,1,400,3084,137.863813230,0,1638400,213735218,213735656
work8,2,400,2001,147.308345827,0,1638400,213735734,213736031
work8,3,400,10884,37.134693128,0,1638400,213736140,213736546
work8,4,400,6165,37.191565288,0,1638400,213736609,213736828
work8,5,400,3014,145.767418713,0,1638400,213736953,213737390
work8,6,400,2909,142.681677552,0,1638400,213737484,213737906
work8,7,400,11111,37.746287463,0,1638400,213738031,213738453
control2,0,400,11287,37.902276956,0,1638400,213738562,213739000
control2,1,400,7520,38.393750000,0,1638400,213739062,213739359
control2,2,400,7048,35.996736663,0,1638400,213739421,213739671
control2,3,400,9667,38.632874728,0,1638400,213739765,213740140
control2,4,400,7814,38.590606604,0,1638400,213740203,213740515
control2,5,400,7609,37.238927586,0,1638400,213740578,213740859
control2,6,400,10031,33.705512910,0,1638400,213740953,213741296
control2,7,400,8648,37.259713228,0,1638400,213741375,213741703
control4,0,400,11657,37.797031826,0,1638400,213741812,213742250
control4,1,400,12075,37.475942029,0,1638400,213742359,213742812
control4,2,400,10720,37.313432836,0,1638400,213742906,213743312
control4,3,400,12475,37.810501002,0,1638400,213743421,213743906
control4,4,400,9425,35.722440318,0,1638400,213743968,213744312
control4,5,400,7150,33.445174825,0,1638400,213744375,213744609
control4,6,400,11053,34.298742423,0,1638400,213744703,213745093
control4,7,400,10756,39.482800298,0,1638400,213745171,213745609
control8,0,400,9288,34.645456503,0,1638400,213745687,213746000
control8,1,400,9481,36.040080160,0,1638400,213746093,213746421
control8,2,400,9922,37.320903044,0,1638400,213746515,213746890
control8,3,400,10940,36.530255941,0,1638400,213746984,213747390
control8,4,400,12075,36.167204969,0,1638400,213747484,213747921
control8,5,400,6772,36.163762552,0,1638400,213747984,213748234
control8,6,400,7664,37.415448852,0,1638400,213748296,213748578
control8,7,400,12144,39.657114625,0,1638400,213748687,213749171
