repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,4,0,0,80,16.417912500,640,0
0,4,1,4,80,16.245537500,640,640
0,4,2,4,80,16.245300000,640,640
0,4,3,0,80,16.526512500,640,0
