stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
matrix,0,0,400,3714,24.768982229,0,1638400,212691171,212691265
matrix,1,1,400,12673,25.022173124,0,1638400,212691343,212691656
matrix,2,1,400,13333,24.656191405,0,1638400,212691734,212692062
matrix,3,0,400,13417,24.666020720,0,1638400,212692156,212692484
matrix,4,0,400,13704,24.820855225,0,1638400,212692578,212692921
matrix,5,1,400,13588,24.641889903,0,1638400,212693000,212693343
matrix,6,1,400,13704,24.678561004,0,1638400,212693421,212693765
matrix,7,0,400,11985,24.557780559,0,1638400,212693843,212694140
pack,0,0,400,40000,1.559175000,0,409600,212694156,212694218
pack,1,1,400,40000,2.305375000,0,409600,212694234,212694328
pack,2,1,400,40000,2.477475000,0,409600,212694359,212694453
pack,3,0,400,40000,2.104275000,0,409600,212694468,212694562
pack,4,0,400,40000,2.050100000,0,409600,212694578,212694656
pack,5,1,400,40000,2.421275000,0,409600,212694687,212694781
pack,6,1,400,40000,2.464225000,0,409600,212694812,212694906
pack,7,0,400,36571,2.053676410,0,409600,212694937,212695000
pair,0,0,400,8226,25.543642110,0,1638400,212695062,212695281
pair,1,1,400,11636,26.534376074,0,1638400,212695359,212695656
pair,2,1,400,11188,26.606989632,0,1638400,212695734,212696046
pair,3,0,400,12355,26.447753946,0,1638400,212696125,212696453
pair,4,0,400,11387,26.455870730,0,1638400,212696531,212696828
pair,5,1,400,9876,26.802754151,0,1638400,212696890,212697156
pair,6,1,400,13034,26.731241369,0,1638400,212697250,212697593
pair,7,0,400,10884,26.631109886,0,1638400,212697671,212697968
dynamic_control,0,0,400,13588,24.892110686,0,1638400,212698046,212698390
dynamic_control,1,1,400,12260,28.472185971,0,1638400,212698484,212698828
dynamic_control,2,1,400,11700,28.666068376,0,1638400,212698921,212699250
dynamic_control,3,0,400,13646,24.900410377,0,1638400,212699343,212699687
dynamic_control,4,0,400,13822,24.877803502,0,1638400,212699765,212700109
dynamic_control,5,1,400,13617,29.205992509,0,1638400,212700218,212700609
dynamic_control,6,1,400,10491,29.472214279,0,1638400,212700687,212701000
dynamic_control,7,0,400,11636,24.879254039,0,1638400,212701078,212701359
