test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.654456250,0,0,218,325112531,325114546
1,1,1,160,12.089893750,0,34880,218,325114921,325116859
1,2,1,160,12.136937500,0,34880,218,325117234,325119171
1,3,0,160,12.152018750,0,0,218,325119531,325121484
1,4,0,160,12.129525000,0,0,218,325121843,325123796
1,5,1,160,12.124156250,0,34880,218,325124156,325126093
1,6,1,160,12.157787500,0,34880,218,325126468,325128421
1,7,0,160,12.170387500,0,0,218,325128781,325130734
2,0,0,160,12.134975000,0,0,218,325131093,325133046
2,1,2,160,12.119556250,0,34880,218,325133406,325135343
2,2,2,160,12.159675000,0,34880,218,325135718,325137671
2,3,0,160,12.186637500,0,0,218,325138031,325139984
2,4,0,160,12.132718750,0,0,218,325140359,325142296
2,5,2,160,12.133868750,0,34880,218,325142671,325144609
2,6,2,160,12.175081250,0,34880,218,325144968,325146921
2,7,0,160,12.171650000,0,0,218,325147296,325149234
3,0,0,160,12.174712500,0,0,218,325149609,325151562
3,1,3,160,12.152212500,0,34880,218,325151937,325153875
3,2,3,160,12.155493750,0,34880,218,325154250,325156187
3,3,0,160,12.190106250,0,0,218,325156562,325158515
3,4,0,160,12.170287500,0,0,218,325158875,325160828
3,5,3,160,12.132937500,0,34880,218,325161203,325163140
3,6,3,160,12.104350000,0,34880,218,325163515,325165453
3,7,0,160,12.101431250,0,0,218,325165812,325167750
