test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.099831250,0,0,218,323225687,323227625
1,1,1,160,12.052800000,0,34880,218,323227984,323229921
1,2,1,160,12.089775000,0,34880,218,323230281,323232218
1,3,0,160,12.092575000,0,0,218,323232578,323234515
1,4,0,160,12.084293750,0,0,218,323234890,323236828
1,5,1,160,12.084543750,0,34880,218,323237187,323239125
1,6,1,160,12.113137500,0,34880,218,323239484,323241421
1,7,0,160,12.108062500,0,0,218,323241796,323243734
2,0,0,160,12.102712500,0,0,218,323244093,323246031
2,1,2,160,12.090668750,0,34880,218,323246406,323248343
2,2,2,160,12.100075000,0,34880,218,323248703,323250640
2,3,0,160,12.103531250,0,0,218,323251015,323252953
2,4,0,160,12.105218750,0,0,218,323253312,323255250
2,5,2,160,12.082093750,0,34880,218,323255625,323257562
2,6,2,160,12.104412500,0,34880,218,323257921,323259859
2,7,0,160,12.120768750,0,0,218,323260234,323262171
3,0,0,160,12.100993750,0,0,218,323262531,323264468
3,1,3,160,12.132381250,0,34880,218,323264843,323266781
3,2,3,160,12.125100000,0,34880,218,323267156,323269093
3,3,0,160,12.145100000,0,0,218,323269453,323271406
3,4,0,160,12.135287500,0,0,218,323271765,323273718
3,5,3,160,12.122650000,0,34880,218,323274078,323276015
3,6,3,160,12.129431250,0,34880,218,323276390,323278328
3,7,0,160,12.135162500,0,0,218,323278703,323280640
