stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
wide_row,0,0,400,6694,25.748282044,0,1638400,256944000,256944171
wide_row,1,1,400,13389,27.887146165,0,1638400,256944265,256944640
wide_row,2,1,400,12500,27.638000000,0,1638400,256944718,256945062
wide_row,3,0,400,12331,25.350579839,0,1638400,256945156,256945468
wide_row,4,0,400,13502,25.710709525,0,1638400,256945546,256945890
wide_row,5,1,400,13793,26.638004785,0,1638400,256945984,256946359
wide_row,6,1,400,13223,26.719882024,0,1638400,256946437,256946796
wide_row,7,0,400,13617,25.278989498,0,1638400,256946875,256947218
tall_row,0,0,400,13675,25.103692870,0,1638400,256947312,256947656
tall_row,1,1,400,14285,24.112635632,0,1638400,256947750,256948093
tall_row,2,1,400,11743,24.159328962,0,1638400,256948171,256948453
tall_row,3,0,400,12749,25.697074280,0,1638400,256948531,256948859
tall_row,4,0,400,10702,25.587834050,0,1638400,256948937,256949203
tall_row,5,1,400,14349,24.053383511,0,1638400,256949296,256949640
tall_row,6,1,400,12698,24.035832415,0,1638400,256949718,256950031
tall_row,7,0,400,14578,25.703251475,0,1638400,256950125,256950500
shape_row,0,0,400,12648,27.502530044,0,1638400,256950593,256950937
shape_row,1,1,400,14222,24.206370412,0,1638400,256951031,256951375
shape_row,2,1,400,14190,24.226497533,0,1638400,256951468,256951812
shape_row,3,0,400,13417,27.781843929,0,1638400,256951906,256952281
shape_row,4,0,400,8544,27.215004682,0,1638400,256952343,256952578
shape_row,5,1,400,13588,24.393876950,0,1638400,256952656,256952984
shape_row,6,1,400,14128,24.267553794,0,1638400,256953078,256953421
shape_row,7,0,400,13361,26.795224908,0,1638400,256953515,256953875
shape_tiled,0,0,400,13061,25.452951535,0,1638400,256953968,256954296
shape_tiled,1,1,400,13943,22.250089651,0,1638400,256954375,256954687
shape_tiled,2,1,400,14190,21.872797745,0,1638400,256954765,256955078
shape_tiled,3,0,400,13502,25.485483632,0,1638400,256955171,256955515
shape_tiled,4,0,400,13250,25.374716981,0,1638400,256955609,256955937
shape_tiled,5,1,400,14611,21.723222230,0,1638400,256956031,256956343
shape_tiled,6,1,400,12260,21.555138662,0,1638400,256956421,256956687
shape_tiled,7,0,400,13250,25.140226415,0,1638400,256956765,256957109
layout_wide,0,0,400,13087,23.580805379,0,1638400,256957187,256957500
layout_wide,1,1,400,12955,25.312157468,0,1638400,256957578,256957906
layout_wide,2,1,400,13588,25.403076244,0,1638400,256958000,256958343
layout_wide,3,0,400,12981,25.428780525,0,1638400,256958437,256958765
layout_wide,4,0,400,13250,25.554716981,0,1638400,256958859,256959187
layout_wide,5,1,400,13168,25.376974484,0,1638400,256959281,256959609
layout_wide,6,1,400,12877,25.511454531,0,1638400,256959703,256960031
layout_wide,7,0,400,13168,25.301336574,0,1638400,256960125,256960453
layout_tall,0,0,400,14317,22.904868338,0,1638400,256960546,256960875
layout_tall,1,1,400,14988,21.954163331,0,1638400,256960953,256961281
layout_tall,2,1,400,14446,21.798075592,0,1638400,256961375,256961687
layout_tall,3,0,400,13361,23.112491580,0,1638400,256961765,256962078
layout_tall,4,0,400,13034,23.066978671,0,1638400,256962156,256962453
layout_tall,5,1,400,15802,21.638020504,0,1638400,256962546,256962890
layout_tall,6,1,400,14645,21.732604985,0,1638400,256962984,256963296
layout_tall,7,0,400,14222,23.072141752,0,1638400,256963375,256963703
pair_wide,0,0,400,11208,26.000892220,0,1638400,256963781,256964078
pair_wide,1,1,400,13675,24.535795247,0,1638400,256964171,256964500
pair_wide,2,1,400,12331,24.574243776,0,1638400,256964593,256964890
pair_wide,3,0,400,12723,25.950561974,0,1638400,256964968,256965312
pair_wide,4,0,400,12800,25.968593750,0,1638400,256965390,256965718
pair_wide,5,1,400,12549,24.426647542,0,1638400,256965812,256966125
pair_wide,6,1,400,12851,24.362306435,0,1638400,256966203,256966515
pair_wide,7,0,400,12549,26.012192207,0,1638400,256966609,256966921
pair_tall,0,0,400,12598,25.953246547,0,1638400,256967015,256967343
pair_tall,1,1,400,13559,23.368685006,0,1638400,256967421,256967750
pair_tall,2,1,400,13852,23.374314178,0,1638400,256967828,256968156
pair_tall,3,0,400,13141,26.010958070,0,1638400,256968234,256968578
pair_tall,4,0,400,12673,26.007732976,0,1638400,256968671,256969000
pair_tall,5,1,400,13973,23.428039791,0,1638400,256969093,256969406
pair_tall,6,1,400,12121,23.414322251,0,1638400,256969484,256969781
pair_tall,7,0,400,12427,25.974651967,0,1638400,256969859,256970187
