index,stage,kernel
121,block35,deep_fast:vit_qkv_project_normalize_fused_f16compact_fp8_frag
122,block35,deep_fast:vit_attention_fused_400_bytein
123,block35,deep_fast:vit_project_frag
124,block36,deep_fast:vit_pack_input
125,block36,deep_fast:vit_expand_blocked_fp8_frag_bytein
126,block36,deep_fast:vit_contract_blocked_fp8_frag
127,block36,deep_fast:vit_qkv_project_normalize_fused_f16compact_fp8_frag
128,block36,deep_fast:vit_attention_fused_400_bytein
129,block36,deep_fast:vit_project_frag
130,block37,deep_fast:vit_pack_input
131,block37,deep_fast:vit_expand_blocked_fp8_frag_bytein
132,block37,deep_fast:vit_contract_blocked_fp8_frag
133,block37,deep_fast:vit_qkv_project_normalize_fused_f16compact_fp8_frag
134,block37,deep_fast:vit_attention_fused_400_bytein
135,block37,deep_fast:vit_project_frag
136,block38,deep_fast:vit_pack_input
137,block38,deep_fast:vit_expand_blocked_fp8_frag_bytein
138,block38,deep_fast:vit_contract_blocked_fp8_frag
139,block38,deep_fast:vit_qkv_project_normalize_fused_f16compact_fp8_frag
140,block38,deep_fast:vit_attention_fused_400_bytein
141,block38,deep_fast:vit_project_frag
142,block39,deep:vit_gather
143,block39,deep_fast:decoder_project2x_h16w
144,block40,mh:mh_shift_pack
145,block40,deep_fast:split_mix_blocked_h16w
146,block40,deep_fast:split_ffn_fused_fp8_t8
147,block40,deep_fast:split_projection_frag
148,block40,mh_fast:mh_qkv_normalize_frag_c512
149,block40,mh_fused:mh_attention_fused_fp8_out
150,block40,mh_fast:mh_attention_project_frag_c512
151,block41,mh:mh_shift_pack
152,block41,deep_fast:split_mix_blocked_h16w
153,block41,deep_fast:split_ffn_fused_fp8_t8
154,block41,deep_fast:split_projection_frag
155,block41,mh_fast:mh_qkv_normalize_frag_c512
156,block41,mh_fused:mh_attention_fused_fp8_out
157,block41,mh_fast:mh_attention_project_frag_c512
158,block44,mh:mh_shift_pack
159,block44,deep_fast:split_mix_blocked_h16w
160,block44,deep_fast:split_ffn_fused_fp8_t8
161,block44,deep_fast:split_projection_frag
162,block44,mh_fast:mh_qkv_normalize_frag_c512
163,block44,mh_fused:mh_attention_fused_fp8_out
164,block44,mh_fast:mh_attention_project_frag_c512
165,block45,mh:mh_shift_pack
166,block45,deep_fast:split_mix_blocked_h16w
167,block45,deep_fast:split_ffn_fused_fp8_t8
168,block45,deep_fast:split_projection_frag
169,block45,mh_fast:mh_qkv_normalize_frag_c512
170,block45,mh_fused:mh_attention_fused_fp8_out
171,block45,mh_fast:mh_attention_project_frag_c512
172,block47,mh:mh_shift_pack
173,block47,deep_fast:split_mix_blocked_h16w
174,block47,deep_fast:split_ffn_fused_fp8_t8
175,block47,deep_fast:split_projection_frag
176,block47,mh_fast:mh_qkv_normalize_frag_c512
177,block47,mh_fused:mh_attention_fused_fp8_out
178,block47,mh_fast:mh_attention_project_frag_c512
179,block48,deep_fast:decoder_project2x_h16w_byteout
180,block48,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
181,block48,c64_wave2:c256_attn_wave_bo
182,block49,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
183,block49,c64_wave2:c256_attn_wave_bo
