test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.571875000,0,1600,295790734,295792750
1,1,1,160,12.516618750,0,1600,295793125,295795140
1,2,1,160,12.510206250,0,1600,295795515,295797515
1,3,0,160,12.563337500,0,1600,295797906,295799906
1,4,0,160,12.579256250,0,1600,295800296,295802312
1,5,1,160,12.511312500,0,1600,295802687,295804687
1,6,1,160,12.546912500,0,1600,295805062,295807078
1,7,0,160,12.584037500,0,1600,295807468,295809468
2,0,0,160,12.617950000,0,1600,295809859,295811875
2,1,2,160,12.554725000,0,1600,295812250,295814265
2,2,2,160,12.566393750,0,1600,295814640,295816656
2,3,0,160,12.571943750,0,1600,295817046,295819046
2,4,0,160,12.559137500,0,1600,295819437,295821437
2,5,2,160,12.576350000,0,1600,295821828,295823843
2,6,2,160,12.583737500,0,1600,295824218,295826234
2,7,0,160,12.643606250,0,1600,295826625,295828640
3,0,0,160,12.610450000,0,1600,295829031,295831046
3,1,3,160,12.547993750,0,1600,295831421,295833437
3,2,3,160,12.561162500,0,1600,295833812,295835828
3,3,0,160,12.592300000,0,1600,295836203,295838218
3,4,0,160,12.570893750,0,1600,295838609,295840609
3,5,3,160,12.532181250,0,1600,295841000,295843000
3,6,3,160,12.529331250,0,1600,295843375,295845390
3,7,0,160,12.578231250,0,1600,295845765,295847781
