test,slot,mode,repeats,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
ab_r1,0,0,1,120,17.926775000,0,960,0,960,0,265725843,265728000
ab_r1,1,1,1,120,17.889475000,0,960,0,960,1920,265728531,265730687
ab_r1,2,1,1,120,17.965666667,0,960,0,960,1920,265731234,265733390
ab_r1,3,0,1,120,17.967466667,0,960,0,960,0,265733937,265736093
ab_r1,4,0,1,120,17.982308333,0,960,0,960,0,265736640,265738796
ab_r1,5,1,1,120,17.970175000,0,960,0,960,1920,265739343,265741500
ab_r1,6,1,1,120,17.972616667,0,960,0,960,1920,265742046,265744218
ab_r1,7,0,1,120,18.043958333,0,960,0,960,0,265744765,265746921
ab_r2,0,0,2,120,18.352716667,0,960,960,1920,0,265747484,265749687
ab_r2,1,1,2,120,18.319208333,0,960,960,1920,1920,265750250,265752437
ab_r2,2,1,2,120,18.336258333,0,960,960,1920,1920,265753000,265755203
ab_r2,3,0,2,120,18.366250000,0,960,960,1920,0,265755765,265757968
ab_r2,4,0,2,120,18.401116667,0,960,960,1920,0,265758531,265760734
ab_r2,5,1,2,120,18.357683333,0,960,960,1920,1920,265761296,265763500
ab_r2,6,1,2,120,18.382533333,0,960,960,1920,1920,265764062,265766265
ab_r2,7,0,2,120,18.439425000,0,960,960,1920,0,265766828,265769031
ab_r4,0,0,4,120,19.030725000,0,960,2880,3840,0,265769609,265771906
ab_r4,1,1,4,120,18.962725000,0,960,2880,3840,1920,265772468,265774750
ab_r4,2,1,4,120,18.994858333,0,960,2880,3840,1920,265775328,265777609
ab_r4,3,0,4,120,19.082441667,0,960,2880,3840,0,265778187,265780484
ab_r4,4,0,4,120,19.063458333,0,960,2880,3840,0,265781062,265783343
ab_r4,5,1,4,120,19.005450000,0,960,2880,3840,1920,265783921,265786203
ab_r4,6,1,4,120,18.991525000,0,960,2880,3840,1920,265786781,265789062
ab_r4,7,0,4,120,19.090125000,0,960,2880,3840,0,265789640,265791937
slope_base,0,0,1,120,18.133208333,0,960,0,960,0,265792484,265794656
slope_base,1,0,4,120,19.135458333,0,960,2880,3840,0,265795250,265797531
slope_base,2,0,4,120,19.114625000,0,960,2880,3840,0,265798125,265800406
slope_base,3,0,1,120,18.153925000,0,960,0,960,0,265800968,265803140
slope_base,4,0,1,120,18.122425000,0,960,0,960,0,265803703,265805875
slope_base,5,0,4,120,19.103900000,0,960,2880,3840,0,265806453,265808750
slope_base,6,0,4,120,19.111033333,0,960,2880,3840,0,265809328,265811625
slope_base,7,0,1,120,18.161275000,0,960,0,960,0,265812171,265814359
slope_candidate,0,1,1,120,18.162466667,0,960,0,960,1920,265814906,265817078
slope_candidate,1,1,4,120,19.038991667,0,960,2880,3840,1920,265817671,265819953
slope_candidate,2,1,4,120,19.011083333,0,960,2880,3840,1920,265820531,265822812
slope_candidate,3,1,1,120,18.120558333,0,960,0,960,1920,265823359,265825546
slope_candidate,4,1,1,120,18.123775000,0,960,0,960,1920,265826093,265828265
slope_candidate,5,1,4,120,19.009466667,0,960,2880,3840,1920,265828843,265831125
slope_candidate,6,1,4,120,19.019041667,0,960,2880,3840,1920,265831703,265833984
slope_candidate,7,1,1,120,18.199208333,0,960,0,960,1920,265834546,265836718
