phase,frame,start_tick,end_tick,wall_ms
2,46,198078015,198078031,18.304000000
2,47,198078031,198078046,18.200000000
2,48,198078046,198078062,18.236000000
2,49,198078062,198078078,18.357000000
2,50,198078078,198078093,18.214000000
2,51,198078093,198078125,18.184000000
2,52,198078125,198078140,18.200000000
2,53,198078140,198078156,18.412000000
2,54,198078156,198078171,18.284000000
2,55,198078171,198078187,18.332000000
2,56,198078187,198078203,18.270000000
2,57,198078203,198078234,18.415000000
2,58,198078234,198078250,18.236000000
2,59,198078250,198078265,18.364000000
2,60,198078265,198078281,18.320000000
2,61,198078281,198078296,18.242000000
2,62,198078296,198078312,18.161000000
2,63,198078312,198078343,18.346000000
2,64,198078343,198078359,18.330000000
2,65,198078359,198078375,18.243000000
2,66,198078375,198078390,18.185000000
2,67,198078390,198078406,18.124000000
2,68,198078406,198078421,18.150000000
2,69,198078421,198078453,18.284000000
2,70,198078453,198078468,18.287000000
2,71,198078468,198078484,18.216000000
2,72,198078484,198078500,18.245000000
2,73,198078500,198078515,18.270000000
2,74,198078515,198078531,18.270000000
2,75,198078531,198078562,18.281000000
2,76,198078562,198078578,18.442000000
2,77,198078578,198078593,18.208000000
2,78,198078593,198078609,18.293000000
2,79,198078609,198078625,18.220000000
2,80,198078625,198078640,18.304000000
2,81,198078640,198078671,18.191000000
2,82,198078671,198078687,18.262000000
2,83,198078687,198078703,18.311000000
2,84,198078703,198078718,18.228000000
2,85,198078718,198078734,18.487000000
2,86,198078734,198078750,18.333000000
2,87,198078750,198078781,18.334000000
2,88,198078781,198078796,18.284000000
2,89,198078796,198078812,18.271000000
2,90,198078812,198078828,18.297000000
2,91,198078828,198078843,18.358000000
2,92,198078843,198078875,18.290000000
2,93,198078875,198078890,18.167000000
2,94,198078890,198078906,18.200000000
2,95,198078906,198078921,18.231000000
2,96,198078921,198078937,18.153000000
2,97,198078937,198078953,18.168000000
2,98,198078953,198078984,18.307000000
2,99,198078984,198079000,18.148000000
3,0,198079000,198079031,29.010000000
3,1,198079031,198079062,29.120000000
3,2,198079062,198079093,29.496000000
3,3,198079093,198079125,28.963000000
3,4,198079125,198079156,28.041000000
3,5,198079156,198079171,28.423000000
3,6,198079171,198079203,28.434000000
3,7,198079203,198079234,28.737000000
4,0,198079250,198079265,17.749000000
4,1,198079265,198079281,17.425000000
4,2,198079281,198079296,17.571000000
4,3,198079296,198079312,17.507000000
4,4,198079312,198079328,17.921000000
4,5,198079328,198079343,18.187000000
4,6,198079343,198079375,18.245000000
4,7,198079375,198079390,18.338000000
4,8,198079390,198079406,18.348000000
4,9,198079406,198079421,18.085000000
4,10,198079421,198079437,18.293000000
4,11,198079437,198079453,18.350000000
4,12,198079453,198079484,18.246000000
4,13,198079484,198079500,18.212000000
4,14,198079500,198079515,18.235000000
4,15,198079515,198079531,18.268000000
4,16,198079531,198079546,18.289000000
4,17,198079546,198079562,18.177000000
4,18,198079562,198079593,18.255000000
4,19,198079593,198079609,18.219000000
4,20,198079609,198079625,18.181000000
4,21,198079625,198079640,18.232000000
4,22,198079640,198079656,18.234000000
4,23,198079656,198079671,18.179000000
4,24,198079671,198079703,18.215000000
4,25,198079703,198079718,18.155000000
4,26,198079718,198079734,18.221000000
4,27,198079734,198079750,18.194000000
4,28,198079750,198079765,18.193000000
4,29,198079765,198079781,18.310000000
4,30,198079781,198079812,18.286000000
4,31,198079812,198079828,18.205000000
4,32,198079828,198079843,18.249000000
4,33,198079843,198079859,18.226000000
4,34,198079859,198079875,18.275000000
4,35,198079875,198079890,18.303000000
4,36,198079890,198079921,18.142000000
4,37,198079921,198079937,18.165000000
4,38,198079937,198079953,18.291000000
4,39,198079953,198079968,18.259000000
4,40,198079968,198079984,18.248000000
4,41,198079984,198080000,18.177000000
4,42,198080000,198080031,18.243000000
4,43,198080031,198080046,18.150000000
4,44,198080046,198080062,18.150000000
4,45,198080062,198080078,18.319000000
4,46,198080078,198080093,18.284000000
4,47,198080093,198080109,18.241000000
4,48,198080109,198080140,18.319000000
4,49,198080140,198080156,18.354000000
4,50,198080156,198080171,18.179000000
4,51,198080171,198080187,18.231000000
4,52,198080187,198080203,18.152000000
4,53,198080203,198080218,18.294000000
4,54,198080218,198080250,18.119000000
4,55,198080250,198080265,18.330000000
4,56,198080265,198080281,18.170000000
4,57,198080281,198080296,18.243000000
4,58,198080296,198080312,18.184000000
4,59,198080312,198080328,18.251000000
4,60,198080328,198080359,18.220000000
4,61,198080359,198080375,18.175000000
4,62,198080375,198080390,18.143000000
4,63,198080390,198080406,18.191000000
4,64,198080406,198080421,18.241000000
4,65,198080421,198080437,18.187000000
4,66,198080437,198080468,18.329000000
4,67,198080468,198080484,18.378000000
4,68,198080484,198080500,18.389000000
4,69,198080500,198080515,18.263000000
4,70,198080515,198080531,18.295000000
4,71,198080531,198080546,18.208000000
4,72,198080546,198080578,18.278000000
4,73,198080578,198080593,18.357000000
4,74,198080593,198080609,18.280000000
4,75,198080609,198080625,18.297000000
4,76,198080625,198080640,18.283000000
4,77,198080640,198080671,18.248000000
4,78,198080671,198080687,18.355000000
4,79,198080687,198080703,18.241000000
4,80,198080703,198080718,18.240000000
4,81,198080718,198080734,18.288000000
4,82,198080734,198080750,18.319000000
4,83,198080750,198080781,18.238000000
4,84,198080781,198080796,18.152000000
4,85,198080796,198080812,18.179000000
4,86,198080812,198080828,18.444000000
4,87,198080828,198080843,18.237000000
4,88,198080843,198080859,18.405000000
4,89,198080859,198080890,18.175000000
4,90,198080890,198080906,18.264000000
4,91,198080906,198080921,18.230000000
4,92,198080921,198080937,18.297000000
4,93,198080937,198080953,18.262000000
4,94,198080953,198080968,18.453000000
4,95,198080968,198081000,18.346000000
4,96,198081000,198081015,18.244000000
4,97,198081015,198081031,18.341000000
4,98,198081031,198081046,18.338000000
4,99,198081046,198081062,18.172000000
