frame,index,module,kernel,stage,groups,threads,count,start_ms,end_ms,duration_ms,frame_ms,scalar_args
0,0,c32_fused_ffn,c32_fast_ffn_attention_fused_half_prefix_finish_main8,pre-down,34560,128,34560,0.004360000,1.592919946,1.588559985,28.858600616,_;_;_;_;_;_;34560;0;1;1920;1152;0;0
0,1,c32_fused_ffn,c32_fast_ffn_attention_fused_half_mapped,block4,8640,128,8640,1.601959944,2.031840086,0.429879993,28.858600616,_;_;_;_;8640;0;1;960;576;0;0
0,2,c32_fused_ffn,c32_fast_ffn_attention_fused_half_chain,block4,8833,128,8833,2.033279896,2.440079927,0.406800002,28.858600616,_;_;_;_;8833;3;1;960;576;4;4;960;0;0
0,3,c32_fused_ffn,c32_fast_ffn_attention_fused_half_chain,block4,8712,128,8712,2.441679955,2.842479944,0.400799990,28.858600616,_;_;_;_;8712;3;1;960;576;4;0;968;4;4
0,4,c32_fused_ffn,c32_fast_ffn_attention_fused_half_chain_finish_dcrop,block4,8760,128,8760,2.844079971,3.294280052,0.450199991,28.858600616,_;_;_;_;_;8760;3;1;960;576;0;4;968;4;0
0,5,mh_fast,mh_pool_project_production_h16w,block5,34560,32,8847360,3.295880079,3.413079977,0.117200002,28.858600616,_;_;_;480;288;0;0;32
0,6,mh_fast,mh_ffn_fused_c64_project_g128_qkv_fb,block5,8640,128,8847360,3.421080112,3.621639967,0.200560004,28.858600616,_;_;_;_;_;138240;480;288;480;0;0
0,7,mh_fused,c64_attention_project_fb_bout_diag,block5,2160,256,2160,3.623039961,3.777879953,0.154840007,28.858600616,_;_;_;_;480;288;4;0;0;0;0
0,8,mh_fast,mh_ffn_fused_c64_project_mapped_g128_qkv_bytein_fb,block6,9028,128,9244672,3.779239893,3.995120049,0.215880007,28.858600616,_;_;_;_;_;144448;480;288;488;4;4
0,9,mh_fused,c64_attention_project_fb_bout_diag,block6,2257,256,2257,3.996520042,4.156000137,0.159480006,28.858600616,_;_;_;_;488;296;4;480;288;4;4
0,10,mh_fast,mh_ffn_fused_c64_project_mapped_g128_qkv_bytein_fb,block7,8784,128,8994816,4.157479763,4.366600037,0.209120005,28.858600616,_;_;_;_;_;140544;480;288;488;4;0
0,11,mh_fused,c64_attention_project_fb_bout_diag,block7,2196,256,2196,4.367959976,4.525279999,0.157319993,28.858600616,_;_;_;_;488;288;4;480;288;4;0
0,12,mh_fast,mh_ffn_fused_c64_project_mapped_g128_qkv_bytein_fb,block8,8880,128,9093120,4.526800156,4.737480164,0.210679993,28.858600616,_;_;_;_;_;142080;480;288;480;0;4
0,13,mh_fused,c64_attention_project_fb_diag,block8,2220,256,2220,4.738840103,4.897319794,0.158480003,28.858600616,_;_;_;_;480;296;3;480;288;0;4
0,14,mh_fast,mh_pool_project_group_c64,block9,2160,64,4423680,4.898799896,4.994959831,0.096160002,28.858600616,_;_;_;240;144;480;0;0
0,15,mh_fast,mh_ffn_fused_c128_project_g128_qkv_fb,block9,2160,256,4423680,4.998839855,5.155240059,0.156399995,28.858600616,_;_;_;_;_;34560;240;144;240;0;0
0,16,mh_fused,c128_attention_project_fb_bout_diag,block9,540,512,540,5.156640053,5.255159855,0.098520003,28.858600616,_;_;_;_;240;144;4;0;0;0;0
0,17,mh_fast,mh_ffn_fused_c128_project_mapped_g128_qkv_bytein_fb,block10,2356,256,4825088,5.256599903,5.414120197,0.157519996,28.858600616,_;_;_;_;_;37696;240;144;248;4;4
0,18,mh_fused,c128_attention_project_fb_bout_diag,block10,589,512,589,5.420919895,5.529759884,0.108840004,28.858600616,_;_;_;_;248;152;4;240;144;4;4
0,19,mh_fast,mh_ffn_fused_c128_project_mapped_g128_qkv_bytein_fb,block11,2232,256,4571136,5.531199932,5.692599773,0.161400005,28.858600616,_;_;_;_;_;35712;240;144;248;4;0
0,20,mh_fused,c128_attention_project_fb_bout_diag,block11,558,512,558,5.693999767,5.804399967,0.110399999,28.858600616,_;_;_;_;248;144;4;240;144;4;0
