phase,frame,wall_ms
0,0,17.735000000
0,1,17.552000000
0,2,17.928000000
0,3,18.163000000
0,4,18.262000000
0,5,18.412000000
0,6,18.289000000
0,7,18.340000000
0,8,18.319000000
0,9,18.343000000
0,10,18.274000000
0,11,18.226000000
0,12,18.343000000
0,13,18.202000000
0,14,18.336000000
0,15,18.286000000
0,16,18.342000000
0,17,18.144000000
0,18,18.205000000
0,19,18.263000000
0,20,18.194000000
0,21,18.174000000
0,22,18.207000000
0,23,18.314000000
0,24,18.340000000
0,25,18.278000000
0,26,18.292000000
0,27,18.146000000
0,28,18.272000000
0,29,18.244000000
0,30,18.254000000
0,31,18.266000000
0,32,18.270000000
0,33,18.150000000
0,34,18.128000000
0,35,18.373000000
0,36,18.292000000
0,37,18.304000000
0,38,18.178000000
0,39,18.359000000
0,40,18.253000000
0,41,18.244000000
0,42,18.343000000
0,43,18.382000000
0,44,18.269000000
0,45,18.151000000
0,46,18.224000000
0,47,18.146000000
0,48,18.260000000
0,49,18.297000000
0,50,18.506000000
0,51,18.226000000
0,52,18.303000000
0,53,18.299000000
0,54,18.374000000
0,55,18.268000000
0,56,18.274000000
0,57,18.414000000
0,58,18.179000000
0,59,18.248000000
0,60,18.337000000
0,61,18.368000000
0,62,18.299000000
0,63,18.319000000
0,64,18.319000000
0,65,18.187000000
0,66,18.301000000
0,67,18.233000000
0,68,18.381000000
0,69,18.223000000
0,70,18.224000000
0,71,18.247000000
0,72,18.306000000
0,73,18.337000000
0,74,18.325000000
0,75,18.315000000
0,76,18.250000000
0,77,18.325000000
0,78,18.435000000
0,79,18.320000000
0,80,18.374000000
0,81,18.231000000
0,82,18.241000000
0,83,18.222000000
0,84,18.361000000
0,85,18.165000000
0,86,18.244000000
0,87,18.238000000
0,88,18.285000000
0,89,18.229000000
0,90,18.294000000
0,91,18.269000000
0,92,18.258000000
0,93,18.291000000
0,94,18.284000000
0,95,18.309000000
0,96,18.228000000
0,97,18.337000000
0,98,18.227000000
0,99,18.347000000
1,0,17.942000000
1,1,17.789000000
1,2,18.193000000
1,3,18.285000000
1,4,18.419000000
1,5,18.389000000
1,6,18.345000000
1,7,18.327000000
1,8,18.326000000
1,9,18.307000000
1,10,18.355000000
1,11,18.299000000
1,12,18.274000000
1,13,18.317000000
1,14,18.218000000
1,15,18.344000000
1,16,18.284000000
1,17,18.368000000
1,18,18.208000000
1,19,18.369000000
1,20,18.231000000
1,21,18.339000000
1,22,18.309000000
1,23,18.345000000
1,24,18.336000000
1,25,18.382000000
1,26,18.320000000
1,27,18.343000000
1,28,18.311000000
1,29,18.399000000
1,30,18.463000000
1,31,18.463000000
1,32,18.438000000
1,33,18.355000000
1,34,18.207000000
1,35,18.228000000
1,36,18.302000000
1,37,18.303000000
1,38,18.280000000
1,39,18.372000000
1,40,18.384000000
1,41,18.388000000
1,42,18.269000000
1,43,18.313000000
1,44,18.351000000
1,45,18.452000000
1,46,18.418000000
1,47,18.399000000
1,48,18.565000000
1,49,18.266000000
1,50,18.407000000
1,51,18.304000000
1,52,18.544000000
1,53,18.299000000
1,54,18.455000000
1,55,18.331000000
1,56,18.343000000
1,57,18.267000000
1,58,18.327000000
1,59,18.496000000
1,60,18.370000000
1,61,18.287000000
1,62,18.336000000
1,63,18.309000000
1,64,18.406000000
1,65,18.444000000
1,66,18.318000000
1,67,18.295000000
1,68,18.294000000
1,69,18.300000000
1,70,18.496000000
1,71,18.281000000
1,72,18.307000000
1,73,18.355000000
1,74,18.350000000
1,75,18.335000000
1,76,18.381000000
1,77,18.281000000
1,78,18.236000000
1,79,18.272000000
1,80,18.448000000
1,81,18.204000000
1,82,18.423000000
1,83,18.309000000
1,84,18.202000000
1,85,18.369000000
1,86,18.350000000
1,87,18.284000000
1,88,18.182000000
1,89,18.259000000
1,90,18.201000000
1,91,18.196000000
1,92,18.217000000
1,93,18.252000000
1,94,18.238000000
1,95,18.323000000
1,96,18.391000000
1,97,18.396000000
1,98,18.280000000
1,99,18.463000000
