region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
8,2,0,152,199003437,199003453,10.388440132,17.956739426,7.568299770,18.237000000
8,2,1,154,199003453,199003484,10.532739639,18.086620331,7.553880215,18.360000000
8,2,2,154,199003484,199003500,10.672519684,18.141500473,7.468979836,18.419000000
8,2,3,152,199003500,199003515,10.493599892,18.022699356,7.529099941,18.273000000
8,3,0,152,199003515,199003531,10.523380280,18.016899109,7.493519783,18.265000000
8,3,1,154,199003531,199003546,10.546159744,18.026479721,7.480319977,18.282000000
8,3,2,154,199003546,199003578,10.500599861,18.025600433,7.525000095,18.306000000
8,3,3,152,199003578,199003593,10.434579849,18.025680542,7.591100216,18.291000000
8,4,0,152,199003593,199003609,10.514120102,18.050739288,7.536620140,18.313000000
8,4,1,154,199003609,199003625,10.516980171,18.009279251,7.492300034,18.278000000
8,4,2,154,199003625,199003640,10.534999847,18.094779968,7.559780121,18.350000000
8,4,3,152,199003640,199003656,10.427519798,17.977140427,7.549620152,18.271000000
8,5,0,152,199003656,199003687,10.464739799,18.143939972,7.679200172,18.446000000
8,5,1,154,199003687,199003703,10.632459641,17.959560394,7.327099800,18.355000000
8,5,2,154,199003703,199003718,10.520000458,18.007919312,7.487919807,18.295000000
8,5,3,152,199003718,199003734,10.483420372,18.000640869,7.517220020,18.293000000
8,6,0,152,199003734,199003750,10.498860359,17.991699219,7.492839813,18.295000000
8,6,1,154,199003750,199003765,10.520640373,18.023080826,7.502439976,18.310000000
8,6,2,154,199003765,199003796,10.535039902,18.040279388,7.505239964,18.332000000
8,6,3,152,199003796,199003812,10.489359856,18.097480774,7.608119965,18.389000000
8,7,0,152,199003812,199003828,10.466119766,18.035619736,7.569499969,18.459000000
8,7,1,154,199003828,199003843,10.517600060,18.025499344,7.507900238,18.386000000
8,7,2,154,199003843,199003859,10.438739777,17.940940857,7.502200127,18.312000000
8,7,3,152,199003859,199003875,10.472740173,17.969999313,7.497260094,18.320000000
9,0,0,154,199004031,199004046,10.436380386,17.937740326,7.501359940,18.216000000
9,0,1,189,199004046,199004078,11.343819618,18.031099319,6.687280178,18.257000000
9,0,2,189,199004078,199004093,11.333640099,18.017900467,6.684259892,18.303000000
9,0,3,154,199004093,199004109,10.496199608,18.037540436,7.541339874,18.328000000
9,1,0,154,199004109,199004125,10.463159561,18.064039230,7.600880146,18.374000000
9,1,1,189,199004125,199004140,11.326760292,17.978679657,6.651919842,18.359000000
9,1,2,189,199004140,199004171,11.240960121,17.962860107,6.721899986,18.300000000
9,1,3,154,199004171,199004187,10.429180145,17.956800461,7.527619839,18.316000000
9,2,0,154,199004187,199004203,10.563139915,17.973640442,7.410500050,18.346000000
9,2,1,189,199004203,199004218,11.367320061,18.096019745,6.728700161,18.371000000
9,2,2,189,199004218,199004234,11.479140282,18.194940567,6.715799809,18.448000000
9,2,3,154,199004234,199004250,10.545080185,18.027160645,7.482079983,18.290000000
9,3,0,154,199004250,199004281,10.497559547,18.007740021,7.510179996,18.282000000
9,3,1,189,199004281,199004296,11.290340424,18.028839111,6.738500118,18.294000000
9,3,2,189,199004296,199004312,11.278739929,18.005939484,6.727200031,18.255000000
9,3,3,154,199004312,199004328,10.515959740,18.046260834,7.530300140,18.276000000
9,4,0,154,199004328,199004343,10.462539673,18.003940582,7.541399956,18.262000000
9,4,1,189,199004343,199004359,11.336640358,18.005460739,6.668819904,18.282000000
9,4,2,189,199004359,199004390,11.336099625,18.023759842,6.687660217,18.260000000
9,4,3,154,199004390,199004406,10.519439697,18.023040771,7.503600121,18.275000000
9,5,0,154,199004406,199004421,10.440859795,18.013059616,7.572199821,18.273000000
9,5,1,189,199004421,199004437,11.209500313,17.976299286,6.766799927,18.244000000
9,5,2,189,199004437,199004453,11.319979668,18.017780304,6.697800159,18.292000000
9,5,3,154,199004453,199004468,10.563579559,18.016279221,7.452700138,18.272000000
9,6,0,154,199004468,199004500,10.551119804,18.068420410,7.517300129,18.321000000
9,6,1,189,199004500,199004515,11.482219696,18.236419678,6.754199982,18.489000000
9,6,2,189,199004515,199004531,11.271739960,17.977939606,6.706200123,18.224000000
9,6,3,154,199004531,199004546,10.605039597,18.077779770,7.472740173,18.313000000
9,7,0,154,199004546,199004562,10.490180016,17.992019653,7.501840115,18.242000000
9,7,1,189,199004562,199004593,11.341119766,18.082719803,6.741600037,18.363000000
9,7,2,189,199004593,199004609,11.317299843,17.984420776,6.667119980,18.241000000
9,7,3,154,199004609,199004625,10.446579933,17.989280701,7.542699814,18.260000000
10,0,0,189,199004781,199004796,11.271240234,18.030239105,6.758999825,18.326000000
10,0,1,206,199004796,199004812,12.419480324,18.071079254,5.651599884,18.335000000
10,0,2,206,199004812,199004828,12.372039795,18.023340225,5.651299953,18.288000000
10,0,3,189,199004828,199004843,11.271380424,18.023279190,6.751900196,18.282000000
10,1,0,189,199004843,199004875,11.252759933,18.019460678,6.766699791,18.282000000
10,1,1,206,199004875,199004890,12.393779755,18.043979645,5.650199890,18.307000000
10,1,2,206,199004890,199004906,12.384300232,18.032400131,5.648099899,18.293000000
10,1,3,189,199004906,199004921,11.225859642,17.936759949,6.710899830,18.174000000
10,2,0,189,199004921,199004937,11.311200142,18.068399429,6.757199764,18.325000000
10,2,1,206,199004937,199004953,12.373220444,18.058420181,5.685200214,18.337000000
10,2,2,206,199004953,199004984,12.385199547,18.015600204,5.630400181,18.273000000
10,2,3,189,199004984,199005000,11.269900322,18.008399963,6.738500118,18.257000000
10,3,0,189,199005000,199005015,11.356940269,18.020900726,6.663959980,18.280000000
10,3,1,206,199005015,199005031,12.537759781,18.164560318,5.626800060,18.411000000
10,3,2,206,199005031,199005046,12.440679550,18.091079712,5.650400162,18.351000000
10,3,3,189,199005046,199005078,11.268420219,18.010019302,6.741600037,18.297000000
10,4,0,189,199005078,199005093,11.312999725,18.015939713,6.702939987,18.283000000
10,4,1,206,199005093,199005109,12.364239693,17.988939285,5.624700069,18.244000000
10,4,2,206,199005109,199005125,12.388500214,18.009899139,5.621399879,18.269000000
10,4,3,189,199005125,199005140,11.255399704,18.032400131,6.776999950,18.293000000
10,5,0,189,199005140,199005156,11.230879784,17.986179352,6.755300045,18.258000000
10,5,1,206,199005156,199005187,12.446379662,17.985059738,5.538680077,18.232000000
10,5,2,206,199005187,199005203,12.386719704,18.040920258,5.654200077,18.287000000
10,5,3,189,199005203,199005218,11.445039749,18.145299911,6.700260162,18.429000000
10,6,0,189,199005218,199005234,11.277500153,17.939319611,6.661819935,18.324000000
10,6,1,206,199005234,199005250,12.481739998,18.032239914,5.550499916,18.272000000
10,6,2,206,199005250,199005265,12.316579819,17.970779419,5.654200077,18.249000000
10,6,3,189,199005265,199005296,11.304340363,17.982679367,6.678339958,18.259000000
10,7,0,189,199005296,199005312,11.339159966,18.001720428,6.662559986,18.274000000
10,7,1,206,199005312,199005328,12.420339584,18.091539383,5.671199799,18.356000000
10,7,2,206,199005328,199005343,12.365539551,18.082040787,5.716499805,18.359000000
10,7,3,189,199005343,199005359,11.249580383,17.962980270,6.713399887,18.288000000
11,0,0,206,199005515,199005531,12.393719673,17.953460693,5.559740067,18.313000000
11,0,1,219,199005531,199005562,13.458479881,18.050279617,4.591800213,18.327000000
11,0,2,219,199005562,199005578,13.426520348,17.956020355,4.529500008,18.231000000
11,0,3,206,199005578,199005593,12.369680405,18.006879807,5.637199879,18.289000000
11,1,0,206,199005593,199005609,12.387299538,18.013000488,5.625699997,18.283000000
11,1,1,219,199005609,199005625,13.575619698,18.140619278,4.565000057,18.407000000
11,1,2,219,199005625,199005640,13.428979874,17.940479279,4.511499882,18.287000000
11,1,3,206,199005640,199005671,12.612540245,18.070220947,5.457680225,18.335000000
11,2,0,206,199005671,199005687,12.550120354,18.084619522,5.534500122,18.414000000
11,2,1,219,199005687,199005703,13.502300262,18.029800415,4.527500153,18.421000000
11,2,2,219,199005703,199005718,13.614239693,18.050079346,4.435840130,18.414000000
11,2,3,206,199005718,199005734,12.251440048,17.982940674,5.731500149,18.368000000
11,3,0,206,199005734,199005750,12.303999901,17.912599564,5.608600140,18.314000000
11,3,1,219,199005750,199005781,13.499400139,18.018499374,4.519100189,18.368000000
11,3,2,219,199005781,199005796,13.493980408,17.942480087,4.448500156,18.305000000
11,3,3,206,199005796,199005812,12.449239731,17.993339539,5.544099808,18.323000000
11,4,0,206,199005812,199005828,12.429100037,18.079399109,5.650300026,18.351000000
11,4,1,219,199005828,199005843,13.461859703,17.995359421,4.533500195,18.374000000
11,4,2,219,199005843,199005859,13.389060020,17.937959671,4.548900127,18.311000000
11,4,3,206,199005859,199005890,12.309499741,17.966499329,5.657000065,18.261000000
11,5,0,206,199005890,199005906,12.394260406,18.023960114,5.629700184,18.294000000
11,5,1,219,199005906,199005921,13.678959846,18.035659790,4.356699944,18.299000000
11,5,2,219,199005921,199005937,13.491339684,18.041439056,4.550099850,18.300000000
