phase,slot,mode,frames,ms
0,0,0,80,11.563237500
0,1,1,80,11.664662500
0,2,1,80,11.682825000
0,3,0,80,11.598987500
1,0,0,80,11.593900000
1,1,2,80,11.690300000
1,2,2,80,11.684212500
1,3,0,80,11.616575000
2,0,0,80,11.609325000
2,1,3,80,11.705875000
2,2,3,80,11.701800000
2,3,0,80,11.626950000
3,0,0,80,11.638037500
3,1,4,80,11.691600000
3,2,4,80,11.722275000
3,3,0,80,11.640612500
4,0,0,80,11.654350000
4,1,5,80,11.741200000
4,2,5,80,11.743362500
4,3,0,80,11.663200000
5,0,0,80,11.673862500
5,1,6,80,11.762587500
5,2,6,80,11.769025000
5,3,0,80,11.661125000
6,0,0,80,11.675075000
6,1,7,80,11.751950000
6,2,7,80,11.754287500
6,3,0,80,11.692475000
