phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
packv,0,0,1,1,678,252.063421829,0,25235456
packv,0,1,0,1,759,269.837944664,0,25235456
packv,0,2,0,1,796,270.737437186,0,25235456
packv,0,3,1,1,788,265.350253807,0,25235456
packv,1,0,0,1,714,270.389355742,0,25235456
packv,1,1,0,2,644,327.228260870,0,25235456
packv,1,2,0,2,657,327.937595129,0,25235456
packv,1,3,0,1,716,273.286312849,0,25235456
packv,2,0,0,1,753,272.885790173,0,25235456
packv,2,1,0,4,491,437.963340122,0,25235456
packv,2,2,0,4,505,438.314851485,0,25235456
packv,2,3,0,1,765,270.662745098,0,25235456
