test,slot,mode,frame,segment_ms
marked_ab,0,0,154,1.285699964
marked_ab,0,0,155,1.272699952
marked_ab,0,0,156,1.287500024
marked_ab,0,0,157,1.282600045
marked_ab,0,0,158,1.313899994
marked_ab,0,0,159,1.279500008
marked_ab,1,1,0,1.274299979
marked_ab,1,1,1,1.280799985
marked_ab,1,1,2,1.279600024
marked_ab,1,1,3,1.266899943
marked_ab,1,1,4,1.276999950
marked_ab,1,1,5,1.287099957
marked_ab,1,1,6,1.275699973
marked_ab,1,1,7,1.272199988
marked_ab,1,1,8,1.265900016
marked_ab,1,1,9,1.267799973
marked_ab,1,1,10,1.274700046
marked_ab,1,1,11,1.250499964
marked_ab,1,1,12,1.275900006
marked_ab,1,1,13,1.372300029
marked_ab,1,1,14,1.219560027
marked_ab,1,1,15,1.299000025
marked_ab,1,1,16,1.382900000
marked_ab,1,1,17,1.242840052
marked_ab,1,1,18,1.262199998
marked_ab,1,1,19,1.313699961
marked_ab,1,1,20,1.213999987
marked_ab,1,1,21,1.267600060
marked_ab,1,1,22,1.267400026
marked_ab,1,1,23,1.275699973
marked_ab,1,1,24,1.258200049
marked_ab,1,1,25,1.264700055
marked_ab,1,1,26,1.278200030
marked_ab,1,1,27,1.267600060
marked_ab,1,1,28,1.284199953
marked_ab,1,1,29,1.271199942
marked_ab,1,1,30,1.276800036
marked_ab,1,1,31,1.268599987
marked_ab,1,1,32,1.194000006
marked_ab,1,1,33,1.272099972
marked_ab,1,1,34,1.367200017
marked_ab,1,1,35,1.202600002
marked_ab,1,1,36,1.269500017
marked_ab,1,1,37,1.281999946
marked_ab,1,1,38,1.266999960
marked_ab,1,1,39,1.331900001
marked_ab,1,1,40,1.283499956
marked_ab,1,1,41,1.122120023
marked_ab,1,1,42,1.260699987
marked_ab,1,1,43,1.262500048
marked_ab,1,1,44,1.259840012
marked_ab,1,1,45,1.162739992
marked_ab,1,1,46,1.224200010
marked_ab,1,1,47,1.287299991
marked_ab,1,1,48,1.264000058
marked_ab,1,1,49,1.272199988
marked_ab,1,1,50,1.267699957
marked_ab,1,1,51,1.280300021
marked_ab,1,1,52,1.268000007
marked_ab,1,1,53,1.270799994
marked_ab,1,1,54,1.270099998
marked_ab,1,1,55,1.258900046
marked_ab,1,1,56,1.276299953
marked_ab,1,1,57,1.211159945
marked_ab,1,1,58,1.281499982
marked_ab,1,1,59,1.269700050
marked_ab,1,1,60,1.230800033
marked_ab,1,1,61,1.362100005
marked_ab,1,1,62,1.319020033
marked_ab,1,1,63,1.292500019
marked_ab,1,1,64,1.308599949
marked_ab,1,1,65,1.291800022
marked_ab,1,1,66,1.310899973
marked_ab,1,1,67,1.174299955
marked_ab,1,1,68,1.249199986
marked_ab,1,1,69,1.269799948
marked_ab,1,1,70,1.283900023
marked_ab,1,1,71,1.273300052
marked_ab,1,1,72,1.271100044
marked_ab,1,1,73,1.264999986
marked_ab,1,1,74,1.261800051
marked_ab,1,1,75,1.271199942
marked_ab,1,1,76,1.276800036
marked_ab,1,1,77,1.267600060
marked_ab,1,1,78,1.341400027
marked_ab,1,1,79,1.313199997
marked_ab,1,1,80,1.245399952
marked_ab,1,1,81,1.248600006
marked_ab,1,1,82,1.263800025
marked_ab,1,1,83,1.263000011
marked_ab,1,1,84,1.282799959
marked_ab,1,1,85,1.282400012
marked_ab,1,1,86,1.389199972
marked_ab,1,1,87,1.279899955
marked_ab,1,1,88,1.278900027
marked_ab,1,1,89,1.266600013
marked_ab,1,1,90,1.277199984
marked_ab,1,1,91,1.223880053
marked_ab,1,1,92,1.270099998
marked_ab,1,1,93,1.265200019
marked_ab,1,1,94,1.271800041
marked_ab,1,1,95,1.269199967
marked_ab,1,1,96,1.284299970
marked_ab,1,1,97,1.276499987
marked_ab,1,1,98,1.267600060
marked_ab,1,1,99,1.274299979
marked_ab,1,1,100,1.266899943
marked_ab,1,1,101,1.273499966
marked_ab,1,1,102,1.281399965
marked_ab,1,1,103,1.222620010
marked_ab,1,1,104,1.278499961
marked_ab,1,1,105,1.217399955
marked_ab,1,1,106,1.269400001
marked_ab,1,1,107,1.266899943
marked_ab,1,1,108,1.271999955
marked_ab,1,1,109,1.279899955
marked_ab,1,1,110,1.279500008
marked_ab,1,1,111,1.276499987
marked_ab,1,1,112,1.275500059
marked_ab,1,1,113,1.264899969
marked_ab,1,1,114,1.217319965
marked_ab,1,1,115,1.267799973
marked_ab,1,1,116,1.270900011
marked_ab,1,1,117,1.271000028
marked_ab,1,1,118,1.276000023
marked_ab,1,1,119,1.263100028
marked_ab,1,1,120,1.227040052
marked_ab,1,1,121,1.211779952
marked_ab,1,1,122,1.282299995
marked_ab,1,1,123,1.180099964
marked_ab,1,1,124,1.347700000
marked_ab,1,1,125,1.281999946
marked_ab,1,1,126,1.329900026
marked_ab,1,1,127,1.250300050
marked_ab,1,1,128,1.266100049
marked_ab,1,1,129,1.371500015
marked_ab,1,1,130,1.274700046
marked_ab,1,1,131,1.269500017
marked_ab,1,1,132,1.269099951
marked_ab,1,1,133,1.267799973
marked_ab,1,1,134,1.267300010
marked_ab,1,1,135,1.270900011
marked_ab,1,1,136,1.276999950
marked_ab,1,1,137,1.374400020
