test,slot,mode,repeats,single,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
concentrate_base,0,0,4,0,120,13.468200000,0,960,2880,3840,0,266217062,266218687
concentrate_base,1,0,4,1,120,13.464925000,0,960,2880,3840,0,266219093,266220703
concentrate_base,2,0,4,1,120,13.461733333,0,960,2880,3840,0,266221109,266222734
concentrate_base,3,0,4,0,120,13.468791667,0,960,2880,3840,0,266223140,266224765
concentrate_base,4,0,4,0,120,13.484425000,0,960,2880,3840,0,266225171,266226781
concentrate_base,5,0,4,1,120,13.475550000,0,960,2880,3840,0,266227203,266228812
concentrate_base,6,0,4,1,120,13.464200000,0,960,2880,3840,0,266229218,266230843
concentrate_base,7,0,4,0,120,13.477500000,0,960,2880,3840,0,266231250,266232859
concentrate_candidate,0,1,4,0,120,13.434891667,0,960,2880,3840,1920,266233281,266234890
concentrate_candidate,1,1,4,1,120,13.434833333,0,960,2880,3840,1920,266235296,266236906
concentrate_candidate,2,1,4,1,120,13.399691667,0,960,2880,3840,1920,266237312,266238921
concentrate_candidate,3,1,4,0,120,13.394950000,0,960,2880,3840,1920,266239328,266240937
concentrate_candidate,4,1,4,0,120,13.409550000,0,960,2880,3840,1920,266241343,266242953
concentrate_candidate,5,1,4,1,120,13.397491667,0,960,2880,3840,1920,266243359,266244968
concentrate_candidate,6,1,4,1,120,13.398375000,0,960,2880,3840,1920,266245375,266246984
concentrate_candidate,7,1,4,0,120,13.437008333,0,960,2880,3840,1920,266247390,266249015
ab_concentrated,0,0,4,1,120,13.461041667,0,960,2880,3840,0,266249421,266251031
ab_concentrated,1,1,4,1,120,13.402033333,0,960,2880,3840,1920,266251437,266253046
ab_concentrated,2,1,4,1,120,13.400200000,0,960,2880,3840,1920,266253453,266255062
ab_concentrated,3,0,4,1,120,13.551475000,0,960,2880,3840,0,266255484,266257109
ab_concentrated,4,0,4,1,120,13.525433333,0,960,2880,3840,0,266257515,266259140
ab_concentrated,5,1,4,1,120,13.408908333,0,960,2880,3840,1920,266259546,266261156
ab_concentrated,6,1,4,1,120,13.428366667,0,960,2880,3840,1920,266261562,266263187
ab_concentrated,7,0,4,1,120,13.489191667,0,960,2880,3840,0,266263593,266265218
