test,slot,mode,repeats,distinct,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
clones_base,0,0,4,0,120,18.822133333,0,960,2880,3840,0,266739343,266741593
clones_base,1,0,4,1,120,18.849908333,0,960,2880,3840,0,266742171,266744437
clones_base,2,0,4,1,120,18.893925000,0,960,2880,3840,0,266745000,266747281
clones_base,3,0,4,0,120,18.930591667,0,960,2880,3840,0,266747843,266750125
clones_base,4,0,4,0,120,18.951950000,0,960,2880,3840,0,266750703,266752968
clones_base,5,0,4,1,120,18.955650000,0,960,2880,3840,0,266753546,266755828
clones_base,6,0,4,1,120,18.984575000,0,960,2880,3840,0,266756406,266758671
clones_base,7,0,4,0,120,18.992258333,0,960,2880,3840,0,266759250,266761531
clones_candidate,0,1,4,0,120,18.932816667,0,960,2880,3840,1920,266762109,266764390
clones_candidate,1,1,4,1,120,18.942433333,0,960,2880,3840,1920,266764968,266767234
clones_candidate,2,1,4,1,120,18.932541667,0,960,2880,3840,1920,266767812,266770078
clones_candidate,3,1,4,0,120,18.977933333,0,960,2880,3840,1920,266770656,266772937
clones_candidate,4,1,4,0,120,19.004216667,0,960,2880,3840,1920,266773515,266775796
clones_candidate,5,1,4,1,120,18.955150000,0,960,2880,3840,1920,266776375,266778640
clones_candidate,6,1,4,1,120,18.997591667,0,960,2880,3840,1920,266779218,266781500
clones_candidate,7,1,4,0,120,19.005408333,0,960,2880,3840,1920,266782078,266784359
ab_clones,0,0,4,1,120,19.091250000,0,960,2880,3840,0,266784937,266787234
ab_clones,1,1,4,1,120,18.986875000,0,960,2880,3840,1920,266787812,266790093
ab_clones,2,1,4,1,120,19.041750000,0,960,2880,3840,1920,266790671,266792953
ab_clones,3,0,4,1,120,19.122508333,0,960,2880,3840,0,266793531,266795828
ab_clones,4,0,4,1,120,19.150750000,0,960,2880,3840,0,266796421,266798718
ab_clones,5,1,4,1,120,19.026150000,0,960,2880,3840,1920,266799296,266801578
ab_clones,6,1,4,1,120,19.049158333,0,960,2880,3840,1920,266802156,266804437
ab_clones,7,0,4,1,120,19.141891667,0,960,2880,3840,0,266805031,266807328
