kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,10.572399000,0.000,0
cand,0,1,1,1,200,10.502264000,10.000,0
cand,0,1,2,1,200,10.519515500,10.000,0
cand,0,1,3,0,200,10.629142500,0.000,0
cand,0,2,0,0,200,10.643141500,0.000,0
cand,0,2,1,1,200,10.528930500,10.000,0
cand,0,2,2,1,200,10.538399500,10.000,0
cand,0,2,3,0,200,10.660884500,0.000,0
cand,0,3,0,0,200,10.662807500,0.000,0
cand,0,3,1,1,200,10.662341000,10.000,0
cand,0,3,2,1,200,10.678324500,10.000,0
cand,0,3,3,0,200,10.723239500,0.000,0
cand,1,1,0,0,200,10.734506000,0.000,0
cand,1,1,1,1,200,10.647242500,10.000,0
cand,1,1,2,1,200,10.646638000,10.000,0
cand,1,1,3,0,200,10.730479000,0.000,0
cand,1,2,0,0,200,10.718293000,0.000,0
cand,1,2,1,1,200,10.618205000,10.000,0
cand,1,2,2,1,200,10.614136000,10.000,0
cand,1,2,3,0,200,10.733353500,0.000,0
cand,1,3,0,0,200,10.737274000,0.000,0
cand,1,3,1,1,200,10.726752500,10.000,0
cand,1,3,2,1,200,10.720656500,10.000,0
cand,1,3,3,0,200,10.757899500,0.000,0
cand,2,1,0,0,200,10.768658000,0.000,0
cand,2,1,1,1,200,10.643824500,10.000,0
cand,2,1,2,1,200,10.657890000,10.000,0
cand,2,1,3,0,200,10.736415000,0.000,0
cand,2,2,0,0,200,10.728145500,0.000,0
cand,2,2,1,1,200,10.621956500,10.000,0
cand,2,2,2,1,200,10.636746000,10.000,0
cand,2,2,3,0,200,10.756343000,0.000,0
cand,2,3,0,0,200,10.747053000,0.000,0
cand,2,3,1,1,200,10.741808500,10.000,0
cand,2,3,2,1,200,10.747550000,10.000,0
cand,2,3,3,0,200,10.755671000,0.000,0
