slot,mode,phase,frames,wall_ms,bitdiff,replacements,start_tick,end_tick
0,0,0,80,17.823287500,0,0,259580125,259581546
0,0,1,80,17.861575000,0,0,259582703,259584140
1,1,0,80,17.859787500,0,1280,259584687,259586109
1,1,1,80,17.861625000,0,1280,259587265,259588703
2,1,0,80,17.898250000,0,1280,259589250,259590671
2,1,1,80,17.921775000,0,1280,259591843,259593265
3,0,0,80,17.932050000,0,0,259593812,259595250
3,0,1,80,17.925462500,0,0,259596406,259597843
4,0,0,80,17.945000000,0,0,259598390,259599828
4,0,1,80,17.946600000,0,0,259600984,259602421
5,1,0,80,17.952312500,0,1280,259602968,259604406
5,1,1,80,17.959187500,0,1280,259605578,259607015
6,1,0,80,17.977187500,0,1280,259607562,259609000
6,1,1,80,17.975800000,0,1280,259610156,259611593
7,0,0,80,17.993500000,0,0,259612140,259613578
7,0,1,80,18.013600000,0,0,259614750,259616187
