slot,mode,round,edge,after,start_tick,end_tick,prefix_ms,whole_ms,tail_ms,wall_ms,valid
0,0,0,0,0,259581562,259581578,7.568200111,16.781700134,9.213500023,17.152000000,1
0,0,0,1,1,259581578,259581593,7.983180046,17.273479462,9.290300369,17.419000000,1
0,0,0,2,1,259581593,259581609,7.903160095,17.362060547,9.458900452,17.497000000,1
0,0,0,3,0,259581609,259581625,7.886079788,17.525480270,9.639399529,17.660000000,1
0,0,1,0,0,259581625,259581640,7.955679893,17.757480621,9.801799774,17.884000000,1
0,0,1,1,1,259581640,259581671,8.179599762,17.813240051,9.633640289,18.006000000,1
0,0,1,2,1,259581671,259581687,8.157620430,17.730619431,9.572999954,17.968000000,1
0,0,1,3,0,259581687,259581703,8.057840347,17.588340759,9.530500412,17.724000000,1
0,0,2,0,0,259581703,259581718,7.998199940,17.697000504,9.698800087,17.804000000,1
0,0,2,1,1,259581718,259581734,8.050279617,17.745780945,9.695500374,17.938000000,1
0,0,2,2,1,259581734,259581750,7.951200008,17.536899567,9.585700035,17.788000000,1
0,0,2,3,0,259581750,259581765,8.033900261,17.758459091,9.724559784,17.895000000,1
0,0,3,0,0,259581765,259581796,8.004220009,17.596519470,9.592300415,17.842000000,1
0,0,3,1,1,259581796,259581812,8.045280457,17.732419968,9.687140465,17.866000000,1
0,0,3,2,1,259581812,259581828,8.141180038,17.716979980,9.575799942,17.923000000,1
0,0,3,3,0,259581828,259581843,7.842559814,17.520759583,9.678199768,17.840000000,1
0,0,4,0,0,259581843,259581859,8.004540443,17.630140305,9.625599861,17.777000000,1
0,0,4,1,1,259581859,259581875,8.118140221,17.722839355,9.604700089,17.868000000,1
0,0,4,2,1,259581875,259581890,8.329119682,17.828939438,9.499819756,17.941000000,1
0,0,4,3,0,259581890,259581921,7.967199802,17.605199814,9.637999535,17.717000000,1
0,0,5,0,0,259581921,259581937,7.969260216,17.607660294,9.638400078,17.730000000,1
0,0,5,1,1,259581937,259581953,8.051480293,17.665079117,9.613599777,17.782000000,1
0,0,5,2,1,259581953,259581968,8.107319832,17.747419357,9.640099525,17.878000000,1
0,0,5,3,0,259581968,259581984,7.894619942,17.475080490,9.580459595,17.711000000,1
0,0,6,0,0,259581984,259582000,8.020899773,17.592300415,9.571399689,17.737000000,1
0,0,6,1,1,259582000,259582015,8.067660332,17.734600067,9.666939735,17.880000000,1
0,0,6,2,1,259582015,259582031,7.962840080,17.551099777,9.588259697,17.778000000,1
0,0,6,3,0,259582031,259582062,8.056759834,17.749860764,9.693099976,17.898000000,1
0,0,7,0,0,259582062,259582078,7.940579891,17.659780502,9.719200134,17.849000000,1
0,0,7,1,1,259582078,259582093,7.881440163,17.427440643,9.545999527,17.836000000,1
0,0,7,2,1,259582093,259582109,8.083299637,17.669200897,9.585900307,17.810000000,1
