phase,frame,wall_ms
0,0,17.011500000
0,1,15.478600000
0,2,15.346000000
0,3,15.159700000
0,4,15.096800000
0,5,15.299000000
0,6,15.333600000
0,7,15.799300000
0,8,15.554200000
0,9,15.565800000
0,10,15.509200000
0,11,15.531900000
0,12,15.753200000
0,13,15.405900000
0,14,15.472500000
0,15,15.301400000
0,16,15.396900000
0,17,15.361400000
0,18,15.789400000
0,19,15.394900000
0,20,15.479300000
0,21,15.429900000
0,22,15.900900000
0,23,15.496900000
0,24,15.514200000
0,25,15.542800000
0,26,15.453300000
0,27,15.853400000
0,28,15.500300000
0,29,15.490900000
0,30,15.594000000
0,31,15.648100000
0,32,15.657300000
0,33,15.834700000
0,34,15.438300000
0,35,15.593300000
0,36,15.402000000
0,37,15.828600000
0,38,15.548300000
0,39,15.620600000
0,40,15.502400000
0,41,15.495600000
0,42,15.801700000
0,43,15.523900000
0,44,15.552300000
0,45,15.586300000
0,46,15.547200000
0,47,15.469700000
0,48,15.805900000
0,49,15.493900000
0,50,15.529200000
0,51,15.498200000
0,52,15.894200000
0,53,15.542700000
0,54,15.547500000
0,55,15.570400000
0,56,15.488900000
0,57,15.899800000
0,58,15.595800000
0,59,15.605200000
0,60,15.575100000
0,61,15.467500000
0,62,15.544100000
0,63,15.911200000
0,64,15.558900000
0,65,15.474300000
0,66,15.500900000
0,67,15.903800000
0,68,15.592200000
0,69,15.579200000
0,70,15.577300000
0,71,15.493700000
0,72,16.001400000
0,73,15.466600000
0,74,15.505900000
0,75,15.565700000
0,76,15.541100000
0,77,15.515800000
0,78,15.774700000
0,79,15.578100000
0,80,15.536800000
0,81,15.483400000
0,82,15.510900000
0,83,15.853200000
0,84,15.446900000
0,85,15.547100000
0,86,15.476400000
0,87,15.886200000
0,88,15.498800000
0,89,15.371100000
0,90,15.435000000
0,91,15.517100000
0,92,15.575300000
0,93,15.890700000
0,94,15.592500000
0,95,15.590200000
0,96,15.440200000
0,97,15.964100000
0,98,15.558600000
0,99,15.537000000
1,0,15.299100000
1,1,15.468500000
1,2,15.664100000
1,3,15.574500000
1,4,15.612800000
1,5,15.669700000
1,6,15.632600000
1,7,16.089600000
1,8,15.655700000
1,9,15.643700000
1,10,15.490300000
1,11,15.514200000
1,12,15.827600000
1,13,15.568400000
1,14,15.606200000
1,15,15.552000000
1,16,15.553800000
1,17,15.854600000
1,18,15.546500000
1,19,15.524600000
1,20,15.483800000
1,21,15.600900000
1,22,15.930400000
1,23,15.519200000
1,24,15.557900000
1,25,15.448000000
1,26,15.585300000
1,27,15.817400000
1,28,15.578600000
1,29,15.521300000
1,30,15.526500000
1,31,15.557000000
1,32,15.822200000
1,33,15.626100000
1,34,15.547400000
1,35,15.673500000
1,36,16.046000000
1,37,15.567100000
1,38,15.589100000
1,39,15.646900000
1,40,15.657200000
1,41,15.925700000
1,42,15.542200000
1,43,15.641900000
1,44,15.524200000
1,45,15.728700000
1,46,15.466600000
1,47,15.946000000
1,48,15.584200000
1,49,15.563100000
1,50,15.584200000
1,51,15.539500000
1,52,16.012300000
1,53,15.663700000
1,54,15.534300000
1,55,15.559100000
1,56,15.963600000
1,57,15.548100000
1,58,15.540100000
1,59,15.553500000
1,60,15.434700000
1,61,15.497200000
1,62,15.960200000
1,63,15.658200000
1,64,15.497600000
1,65,15.441000000
1,66,15.598600000
1,67,15.920200000
1,68,15.520400000
1,69,15.501900000
1,70,15.478200000
1,71,15.881100000
1,72,15.742400000
1,73,15.524700000
1,74,15.485500000
1,75,15.596000000
1,76,15.487600000
1,77,15.917600000
1,78,15.631200000
1,79,15.598800000
1,80,15.583700000
1,81,15.640300000
1,82,15.923400000
1,83,15.595600000
1,84,15.691700000
1,85,15.686100000
1,86,15.571800000
1,87,15.954600000
1,88,15.662900000
1,89,15.552000000
1,90,15.543500000
1,91,15.864700000
1,92,15.590800000
1,93,15.590400000
1,94,15.553100000
1,95,15.527700000
1,96,15.552400000
1,97,15.985800000
1,98,15.521500000
1,99,15.655500000
