region,round,slot,cut,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
0,0,0,0,0.000000000,15.238400459,15.238400459,15.974200000
0,0,1,1,1.239820004,15.071419716,13.831600189,15.559400000
0,0,2,1,1.158380032,14.844180107,13.685799599,15.326600000
0,0,3,0,0.000000000,15.174019814,15.174019814,15.592100000
0,1,0,0,0.000000000,15.260640144,15.260640144,15.584400000
0,1,1,1,1.293439984,15.407739639,14.114299774,15.790500000
0,1,2,1,1.294059992,14.905559540,13.611499786,15.257800000
0,1,3,0,0.000000000,15.191539764,15.191539764,15.518400000
0,2,0,0,0.000000000,15.228759766,15.228759766,15.562500000
0,2,1,1,1.310700059,15.580200195,14.269499779,15.949400000
0,2,2,1,1.236340046,14.942440033,13.706100464,15.424100000
0,2,3,0,0.000000000,15.228619576,15.228619576,15.670900000
0,3,0,0,0.000000000,15.281999588,15.281999588,15.688200000
0,3,1,1,1.225659966,14.974060059,13.748399734,15.380100000
0,3,2,1,1.238600016,14.937899590,13.699299812,15.333300000
0,3,3,0,0.000000000,15.566639900,15.566639900,15.897800000
0,4,0,0,0.000000000,15.281379700,15.281379700,15.612000000
0,4,1,1,1.295240045,14.981240273,13.685999870,15.247500000
0,4,2,1,1.319300056,14.986700058,13.667400360,15.285200000
0,4,3,0,0.000000000,15.605340004,15.605340004,15.956200000
0,5,0,0,0.000000000,15.243539810,15.243539810,15.589700000
0,5,1,1,1.304919958,14.962220192,13.657299995,15.273300000
0,5,2,1,1.320639968,15.142939568,13.822299957,15.479200000
0,5,3,0,0.000000000,15.212260246,15.212260246,15.540200000
0,6,0,0,0.000000000,15.645700455,15.645700455,16.017300000
0,6,1,1,1.296180010,14.933979988,13.637800217,15.281400000
0,6,2,1,1.310060024,15.042059898,13.732000351,15.367200000
0,6,3,0,0.000000000,15.250800133,15.250800133,15.547000000
0,7,0,0,0.000000000,15.266380310,15.266380310,15.576200000
0,7,1,1,1.312819958,15.048119545,13.735300064,15.344900000
0,7,2,1,1.646880031,15.315179825,13.668299675,15.654300000
0,7,3,0,0.000000000,15.280039787,15.280039787,15.577100000
0,8,0,0,0.000000000,15.356539726,15.356539726,15.652700000
0,8,1,1,1.322880030,15.015080452,13.692199707,15.327800000
0,8,2,1,1.305660009,15.001560211,13.695899963,15.301000000
0,8,3,0,0.000000000,15.572640419,15.572640419,15.900600000
0,9,0,0,0.000000000,15.241439819,15.241439819,15.575200000
0,9,1,1,1.294839978,15.017439842,13.722599983,15.306100000
0,9,2,1,1.307340026,15.038740158,13.731399536,15.330300000
0,9,3,0,0.000000000,15.698539734,15.698539734,16.091800000
0,10,0,0,0.000000000,15.281579971,15.281579971,15.621100000
0,10,1,1,1.298640013,15.079739571,13.781100273,15.408900000
0,10,2,1,1.309800029,15.021400452,13.711600304,15.327300000
0,10,3,0,0.000000000,15.264419556,15.264419556,15.562500000
0,11,0,0,0.000000000,15.247440338,15.247440338,15.558800000
0,11,1,1,1.681839943,15.410039902,13.728199959,15.728500000
0,11,2,1,1.304020047,14.966819763,13.662799835,15.314500000
0,11,3,0,0.000000000,15.288220406,15.288220406,15.608200000
0,12,0,0,0.000000000,15.186539650,15.186539650,15.532600000
0,12,1,1,1.301480055,15.044380188,13.742899895,15.362900000
0,12,2,1,1.302520037,15.388520241,14.086000443,15.753000000
0,12,3,0,0.000000000,15.235639572,15.235639572,15.565900000
0,13,0,0,0.000000000,15.467180252,15.467180252,15.781800000
0,13,1,1,1.318820000,15.091320038,13.772500038,15.414700000
0,13,2,1,1.269700050,15.366600037,14.096899986,15.751300000
0,13,3,0,0.000000000,15.326080322,15.326080322,15.655300000
0,14,0,0,0.000000000,15.265500069,15.265500069,15.593500000
0,14,1,1,1.318879962,14.980179787,13.661299706,15.226800000
0,14,2,1,1.344239950,15.064240456,13.720000267,15.350300000
0,14,3,0,0.000000000,15.251879692,15.251879692,15.552300000
0,15,0,0,0.000000000,15.725199699,15.725199699,16.067400000
0,15,1,1,1.300819993,14.975219727,13.674400330,15.293300000
0,15,2,1,1.313699961,15.132300377,13.818599701,15.433900000
0,15,3,0,0.000000000,15.193679810,15.193679810,15.586600000
1,0,0,1,1.309900045,14.984600067,13.674699783,15.304000000
1,0,1,5,2.524039984,15.081540108,12.557499886,15.348000000
1,0,2,5,2.531199932,15.533800125,13.002599716,15.910500000
1,0,3,1,1.303099990,15.026300430,13.723199844,15.387300000
1,1,0,1,1.309399962,14.912400246,13.602999687,15.422600000
1,1,1,5,2.432019949,14.989620209,12.557600021,15.389600000
1,1,2,5,2.611840010,15.044540405,12.432700157,15.347200000
1,1,3,1,1.392140031,15.406740189,14.014599800,15.756900000
1,2,0,1,1.294239998,15.105939865,13.811699867,15.483000000
1,2,1,5,2.482840061,14.969940186,12.487099648,15.588900000
1,2,2,5,2.513319969,14.928420067,12.415100098,15.336300000
1,2,3,1,1.332479954,15.040379524,13.707900047,15.373100000
1,3,0,1,1.309739947,15.114139557,13.804400444,15.484600000
1,3,1,5,2.511300087,15.352600098,12.841300011,15.897900000
1,3,2,5,2.472280025,14.940779686,12.468500137,15.355400000
1,3,3,1,1.385859966,15.114359856,13.728500366,15.448700000
1,4,0,1,1.247499943,14.885000229,13.637499809,15.449800000
1,4,1,5,2.508980036,15.452280045,12.943300247,15.841100000
1,4,2,5,2.513459921,14.946660042,12.433199883,15.301000000
1,4,3,1,1.380640030,15.039039612,13.658399582,15.371300000
1,5,0,1,1.306259990,14.951259613,13.645000458,15.331200000
1,5,1,5,2.578560114,15.059760094,12.481200218,15.453800000
1,5,2,5,2.505559921,15.383859634,12.878299713,15.744800000
1,5,3,1,1.236860037,14.986160278,13.749300003,15.387800000
1,6,0,1,1.371840000,15.098239899,13.726400375,15.640500000
1,6,1,5,2.426460028,14.896059990,12.469599724,15.533800000
1,6,2,5,2.522680044,15.019280434,12.496600151,15.460100000
1,6,3,1,1.197219968,14.973520279,13.776300430,15.454500000
1,7,0,1,1.237280011,15.273380280,14.036100388,15.715000000
1,7,1,5,2.498059988,15.005760193,12.507699966,15.301400000
1,7,2,5,2.504479885,15.132780075,12.628299713,15.461000000
1,7,3,1,1.305639982,15.018839836,13.713199615,15.339900000
1,8,0,1,1.310680032,15.392180443,14.081500053,15.752300000
1,8,1,5,2.482480049,14.970780373,12.488300323,15.359200000
1,8,2,5,2.493459940,15.002160072,12.508700371,15.337800000
1,8,3,1,1.310060024,14.989859581,13.679800034,15.281500000
1,9,0,1,1.308500051,15.064599991,13.756099701,15.398800000
1,9,1,5,2.493419886,15.404020309,12.910599709,15.754600000
1,9,2,5,2.550980091,15.113080025,12.562100410,15.495100000
1,9,3,1,1.211680055,14.853079796,13.641400337,15.280000000
1,10,0,1,1.307260036,15.063759804,13.756500244,15.379600000
1,10,1,5,2.514780045,14.976679802,12.461899757,15.340400000
1,10,2,5,2.473279953,15.021180153,12.547900200,15.368900000
1,10,3,1,1.312059999,15.399259567,14.087200165,15.756700000
1,11,0,1,1.305920005,14.993920326,13.687999725,15.336400000
1,11,1,5,2.505779982,15.216380119,12.710599899,15.540700000
1,11,2,5,2.507319927,15.049719810,12.542400360,15.368900000
1,11,3,1,1.297780037,15.401180267,14.103400230,15.777800000
1,12,0,1,1.296679974,14.959480286,13.662799835,15.300200000
1,12,1,5,2.499020100,15.002719879,12.503700256,15.347700000
1,12,2,5,2.490760088,15.020560265,12.529800415,15.335000000
1,12,3,1,1.419839978,15.025039673,13.605199814,15.350400000
1,13,0,1,1.314560056,14.952960014,13.638400078,15.271200000
1,13,1,5,2.891220093,15.391019821,12.499799728,15.717900000
1,13,2,5,2.495980024,14.968480110,12.472499847,15.312200000
1,13,3,1,1.309780002,14.987480164,13.677700043,15.298600000
1,14,0,1,1.314880013,15.066280365,13.751399994,15.359500000
