variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
7,0,3,400,12.662900000,0,6400,208608234,208613296
7,1,7,400,12.661087500,0,8400,208613812,208618875
7,2,7,400,12.709067500,0,8400,208619390,208624468
7,3,3,400,12.746507500,0,6400,208624984,208630078
