test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
load_ceiling_multi,0,pair128,4,0,0,640,16,12050,33.820248963,158.742448228,0,280506718,280507156
load_ceiling_multi,1,pair128_loadonly_multi,4,0,0,640,16,10490,36.553002860,0.000000000,0,280507453,280507859
load_ceiling_multi,2,pair128_loadonly_multi,4,0,0,640,16,10730,36.374184529,0.000000000,0,280508156,280508578
load_ceiling_multi,3,pair128,4,0,0,640,16,12000,31.555750000,170.134099807,0,280508875,280509281
load_ceiling_multi,4,pair128,4,0,0,640,16,11590,31.299482312,171.527090015,0,280509578,280509953
load_ceiling_multi,5,pair128_loadonly_multi,4,0,0,640,16,10430,36.384467881,0.000000000,0,280510265,280510656
load_ceiling_multi,6,pair128_loadonly_multi,4,0,0,640,16,10440,36.476053640,0.000000000,0,280510968,280511375
load_ceiling_multi,7,pair128,4,0,0,640,16,11930,31.142078793,172.394051010,0,280511671,280512062
