phase,frame,wall_ms
0,0,11.315300000
0,1,10.935700000
0,2,10.787800000
0,3,10.652500000
0,4,10.748600000
0,5,10.663600000
0,6,11.334100000
0,7,10.920700000
0,8,10.991800000
0,9,10.977000000
0,10,10.971500000
0,11,11.021600000
0,12,11.604700000
0,13,11.187500000
0,14,10.937200000
0,15,11.024700000
0,16,11.073800000
0,17,10.929800000
0,18,10.853400000
0,19,11.365100000
0,20,11.031600000
0,21,11.015700000
0,22,10.845300000
0,23,10.835700000
0,24,11.054200000
0,25,10.864700000
0,26,10.819800000
0,27,11.284200000
0,28,10.925800000
0,29,10.904400000
0,30,11.003100000
0,31,10.909500000
0,32,10.842600000
0,33,11.347600000
0,34,10.914200000
0,35,10.929700000
0,36,10.956700000
0,37,10.974500000
0,38,10.933500000
0,39,10.912400000
0,40,10.861700000
0,41,11.255700000
0,42,10.925700000
0,43,10.899800000
0,44,10.841700000
0,45,10.950000000
0,46,10.830200000
0,47,10.866800000
0,48,11.186600000
0,49,10.896100000
0,50,11.109600000
0,51,11.153700000
0,52,10.930900000
0,53,10.991400000
0,54,11.451600000
0,55,11.088700000
0,56,11.263100000
0,57,11.089200000
0,58,10.956900000
0,59,11.002500000
0,60,10.946500000
0,61,11.043500000
0,62,11.293400000
0,63,11.001900000
0,64,10.888800000
0,65,10.973800000
0,66,10.988200000
0,67,10.898400000
0,68,10.976300000
0,69,11.423000000
0,70,11.014800000
0,71,11.019100000
0,72,11.009200000
0,73,10.952300000
0,74,10.978600000
0,75,10.955300000
0,76,11.013000000
0,77,11.260000000
0,78,11.091700000
0,79,11.068800000
0,80,11.161400000
0,81,11.101400000
0,82,11.059400000
0,83,11.385900000
0,84,10.977400000
0,85,10.992500000
0,86,10.931300000
0,87,10.995500000
0,88,10.917000000
0,89,10.932800000
0,90,11.474200000
0,91,11.175800000
0,92,11.115100000
0,93,11.037800000
0,94,10.938800000
0,95,10.956200000
0,96,11.043500000
0,97,11.268900000
0,98,11.455100000
0,99,11.078000000
1,0,11.327900000
1,1,11.185600000
1,2,10.997500000
1,3,10.991700000
1,4,11.109000000
1,5,11.006000000
1,6,10.974600000
1,7,11.091400000
1,8,11.368600000
1,9,11.071900000
1,10,11.007400000
1,11,11.073400000
1,12,11.134200000
1,13,11.070200000
1,14,11.233300000
1,15,11.510900000
1,16,11.138400000
1,17,11.172000000
1,18,11.034100000
1,19,11.037000000
1,20,11.039600000
1,21,11.475500000
1,22,11.136700000
1,23,11.055300000
1,24,11.071700000
1,25,11.064800000
1,26,10.998600000
1,27,10.982600000
1,28,11.012700000
1,29,11.336800000
1,30,11.142600000
1,31,11.054200000
1,32,11.222500000
1,33,11.107800000
1,34,11.002200000
1,35,10.980800000
1,36,11.474100000
1,37,11.122600000
1,38,11.067100000
1,39,11.055700000
1,40,11.078600000
1,41,11.006900000
1,42,11.051400000
1,43,11.148800000
1,44,11.301800000
1,45,10.995600000
1,46,10.962700000
1,47,10.975400000
1,48,10.966400000
1,49,11.061000000
1,50,11.371400000
1,51,11.090200000
1,52,11.121600000
1,53,11.082600000
1,54,10.959400000
1,55,11.025900000
1,56,11.015500000
1,57,11.401200000
1,58,11.112000000
1,59,11.026300000
1,60,10.999600000
1,61,11.131100000
1,62,11.056800000
1,63,11.101700000
1,64,11.053800000
1,65,11.315200000
1,66,11.215800000
1,67,11.025300000
1,68,11.110700000
1,69,11.071200000
1,70,11.304000000
1,71,11.345600000
1,72,11.242700000
1,73,11.046500000
1,74,11.121900000
1,75,11.106900000
1,76,11.179400000
1,77,11.228900000
1,78,11.385600000
1,79,11.248500000
1,80,11.116700000
1,81,11.206500000
1,82,11.086400000
1,83,11.020600000
1,84,11.144100000
1,85,10.982600000
1,86,11.481200000
1,87,11.133300000
1,88,11.138300000
1,89,11.083700000
1,90,11.134500000
1,91,11.445400000
1,92,11.153000000
1,93,11.136400000
1,94,11.035400000
1,95,11.266700000
1,96,11.191900000
1,97,11.227700000
1,98,11.269100000
1,99,11.360900000
