variant,slot,tokens,launches,mean_us,output_diff,raw_diff,checked_bytes
raw,0,640,4526,37.145824127,0,0,2621440
raw,1,640,4698,35.607918263,0,0,2621440
raw,2,640,4797,35.686262247,0,0,2621440
raw,3,640,4705,35.716259299,0,0,2621440
raw,4,640,4754,36.101598654,0,0,2621440
raw,5,640,5071,35.512719385,0,0,2621440
raw,6,640,5177,35.429012942,0,0,2621440
raw,7,640,4637,35.761052405,0,0,2621440
split,0,640,4945,36.074418605,0,0,2621440
split,1,640,4597,37.782901893,0,0,2621440
split,2,640,4102,37.756216480,0,0,2621440
split,3,640,5152,36.048718944,0,0,2621440
split,4,640,5055,36.076360040,0,0,2621440
split,5,640,4494,37.735202492,0,0,2621440
split,6,640,4692,37.761082694,0,0,2621440
split,7,640,5128,35.993174727,0,0,2621440
