phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,183,1157.256830601,0,98304000
ffn,0,1,0,1,185,1232.783783784,0,98304000
ffn,0,2,0,1,187,1232.903743316,0,98304000
ffn,0,3,1,1,187,1190.026737968,0,98304000
ffn,1,0,0,1,185,1242.735135135,0,98304000
ffn,1,1,0,2,159,1394.937106918,0,98304000
ffn,1,2,0,2,161,1379.639751553,0,98304000
ffn,1,3,0,1,183,1233.617486339,0,98304000
ffn,2,0,0,1,183,1233.622950820,0,98304000
ffn,2,1,0,4,131,1671.832061069,0,98304000
ffn,2,2,0,4,130,1665.992307692,0,98304000
ffn,2,3,0,1,184,1234.771739130,0,98304000
pack,0,0,1,1,189,1178.074074074,0,98304000
pack,0,1,0,1,159,1378.327044025,0,98304000
pack,0,2,0,1,160,1383.625000000,0,98304000
pack,0,3,1,1,193,1179.191709845,0,98304000
pack,1,0,0,1,160,1381.756250000,0,98304000
pack,1,1,0,2,131,1665.175572519,0,98304000
pack,1,2,0,2,131,1668.526717557,0,98304000
pack,1,3,0,1,161,1388.931677019,0,98304000
pack,2,0,0,1,161,1394.527950311,0,98304000
pack,2,1,0,4,67,2884.089552239,0,98304000
pack,2,2,0,4,101,2193.683168317,0,98304000
pack,2,3,0,1,161,1381.950310559,0,98304000
qkv,0,0,1,1,194,1189.690721649,0,98304000
qkv,0,1,0,1,184,1217.038043478,0,98304000
qkv,0,2,0,1,186,1220.489247312,0,98304000
qkv,0,3,1,1,191,1182.685863874,0,98304000
qkv,1,0,0,1,187,1229.026737968,0,98304000
qkv,1,1,0,2,176,1278.107954545,0,98304000
qkv,1,2,0,2,178,1279.646067416,0,98304000
qkv,1,3,0,1,185,1186.951351351,0,98304000
qkv,2,0,0,1,185,1168.540540541,0,98304000
qkv,2,1,0,4,154,1338.811688312,0,98304000
qkv,2,2,0,4,153,1337.908496732,0,98304000
qkv,2,3,0,1,184,1168.586956522,0,98304000
scores,0,0,1,1,192,1134.322916667,0,98304000
scores,0,1,0,1,180,1212.750000000,0,98304000
scores,0,2,0,1,177,1208.175141243,0,98304000
scores,0,3,1,1,191,1134.036649215,0,98304000
scores,1,0,0,1,177,1211.728813559,0,98304000
scores,1,1,0,2,161,1319.031055901,0,98304000
scores,1,2,0,2,161,1319.335403727,0,98304000
scores,1,3,0,1,178,1211.455056180,0,98304000
scores,2,0,0,1,178,1212.758426966,0,98304000
scores,2,1,0,4,135,1525.400000000,0,98304000
scores,2,2,0,4,134,1524.365671642,0,98304000
scores,2,3,0,1,176,1215.011363636,0,98304000
norm,0,0,1,1,189,1134.719576720,0,98304000
norm,0,1,0,1,185,1171.270270270,0,98304000
norm,0,2,0,1,188,1171.037234043,0,98304000
norm,0,3,1,1,192,1134.614583333,0,98304000
norm,1,0,0,1,187,1172.016042781,0,98304000
norm,1,1,0,2,153,1381.032679739,0,98304000
norm,1,2,0,2,149,1382.080536913,0,98304000
norm,1,3,0,1,186,1171.688172043,0,98304000
norm,2,0,0,1,185,1172.681081081,0,98304000
norm,2,1,0,4,113,1852.115044248,0,98304000
norm,2,2,0,4,112,1853.383928571,0,98304000
norm,2,3,0,1,185,1171.789189189,0,98304000
av,0,0,1,1,193,1134.932642487,0,98304000
av,0,1,0,1,188,1150.090425532,0,98304000
av,0,2,0,1,184,1149.413043478,0,98304000
av,0,3,1,1,191,1136.575916230,0,98304000
av,1,0,0,1,189,1152.111111111,0,98304000
av,1,1,0,2,179,1214.547486034,0,98304000
av,1,2,0,2,179,1214.731843575,0,98304000
av,1,3,0,1,188,1151.420212766,0,98304000
av,2,0,0,1,188,1152.654255319,0,98304000
av,2,1,0,4,156,1342.243589744,0,98304000
av,2,2,0,4,158,1342.664556962,0,98304000
av,2,3,0,1,183,1148.852459016,0,98304000
project,0,0,1,1,191,1136.774869110,0,98304000
project,0,1,0,1,189,1139.973544974,0,98304000
project,0,2,0,1,192,1141.333333333,0,98304000
project,0,3,1,1,188,1136.367021277,0,98304000
project,1,0,0,1,191,1140.879581152,0,98304000
project,1,1,0,2,186,1172.403225806,0,98304000
project,1,2,0,2,186,1171.559139785,0,98304000
project,1,3,0,1,188,1141.718085106,0,98304000
project,2,0,0,1,191,1141.455497382,0,98304000
project,2,1,0,4,175,1233.388571429,0,98304000
project,2,2,0,4,174,1233.195402299,0,98304000
project,2,3,0,1,191,1140.654450262,0,98304000
