repeat,slot,mode,frames,ms,c64_calls
0,0,0,200,16.609340000,1600
0,1,1,200,16.379135000,1600
0,2,1,200,16.388530000,1600
0,3,0,200,16.630455000,1600
1,0,0,200,16.701725000,1600
1,1,1,200,16.400955000,1600
1,2,1,200,16.431035000,1600
1,3,0,200,16.693050000,1600
2,0,0,200,16.728305000,1600
2,1,1,200,16.471120000,1600
2,2,1,200,16.425020000,1600
2,3,0,200,16.676550000,1600
