"family","median_ms","p10_ms","p90_ms","measured_frames","warmup_frames","hash"
"none","19.5625","19.428","19.745","128","32","1DE20C219105CC281CBA1364A0A21D0DDC4510A95458EC0CA3B8C893EA54F23A"
"vitattn","20.6795","20.532","20.808","128","32","1DE20C219105CC281CBA1364A0A21D0DDC4510A95458EC0CA3B8C893EA54F23A"
"none","19.546","19.422","19.734","128","32","1DE20C219105CC281CBA1364A0A21D0DDC4510A95458EC0CA3B8C893EA54F23A"
