"family","median_ms","p10_ms","p90_ms","measured_frames","warmup_frames","hash"
"none","18.8745","18.744","19.034","128","32","0CA10B532673543DA940781F95324E1E707BBB25790803FDDDAE69F6610F7334"
"vitattn","19.6145","19.467","19.782","128","32","0CA10B532673543DA940781F95324E1E707BBB25790803FDDDAE69F6610F7334"
"none","18.887","18.752","19.037","128","32","0CA10B532673543DA940781F95324E1E707BBB25790803FDDDAE69F6610F7334"
