repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,5,0,0,200,10.696233500,2600,0
0,5,1,5,200,10.679471500,2600,2600
0,5,2,5,200,10.697663000,2600,2600
0,5,3,0,200,10.746905500,2600,0
0,6,0,0,200,10.771067000,2600,0
0,6,1,6,200,10.687246000,2600,2600
0,6,2,6,200,10.692473000,2600,2600
0,6,3,0,200,10.812916500,2600,0
1,5,0,0,200,10.809977000,2600,0
1,5,1,5,200,10.763411000,2600,2600
1,5,2,5,200,10.777357500,2600,2600
1,5,3,0,200,10.821229000,2600,0
1,6,0,0,200,10.835574000,2600,0
1,6,1,6,200,10.758828500,2600,2600
1,6,2,6,200,10.758531000,2600,2600
1,6,3,0,200,10.834359000,2600,0
2,5,0,0,200,10.847835000,2600,0
2,5,1,5,200,10.811827500,2600,2600
2,5,2,5,200,10.822377000,2600,2600
2,5,3,0,200,10.862986500,2600,0
2,6,0,0,200,10.894809000,2600,0
2,6,1,6,200,10.778740000,2600,2600
2,6,2,6,200,10.781140500,2600,2600
2,6,3,0,200,10.881883000,2600,0
