repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,1,0,0,200,10.687713500,2600,0
0,1,1,1,200,10.993155000,2600,2600
0,1,2,1,200,10.989101500,2600,2600
0,1,3,0,200,10.733527500,2600,0
0,2,0,0,200,10.754737500,2600,0
0,2,1,2,200,10.990130000,2600,2600
0,2,2,2,200,10.985152500,2600,2600
0,2,3,0,200,10.763615500,2600,0
0,3,0,0,200,10.775158000,2600,0
0,3,1,3,200,10.955139500,2600,2600
0,3,2,3,200,10.966119500,2600,2600
0,3,3,0,200,10.792411000,2600,0
0,4,0,0,200,10.813934500,2600,0
0,4,1,4,200,11.416598000,2600,2600
0,4,2,4,200,11.436420000,2600,2600
0,4,3,0,200,10.814971500,2600,0
1,1,0,0,200,10.823835500,2600,0
1,1,1,1,200,11.103053000,2600,2600
1,1,2,1,200,11.093201500,2600,2600
1,1,3,0,200,10.824195500,2600,0
1,2,0,0,200,10.814917000,2600,0
1,2,1,2,200,11.061376000,2600,2600
1,2,2,2,200,11.057446000,2600,2600
1,2,3,0,200,10.837282500,2600,0
1,3,0,0,200,10.859279000,2600,0
1,3,1,3,200,11.020626000,2600,2600
1,3,2,3,200,11.020057000,2600,2600
1,3,3,0,200,10.886040000,2600,0
1,4,0,0,200,10.865681500,2600,0
1,4,1,4,200,11.452814500,2600,2600
1,4,2,4,200,11.470165500,2600,2600
1,4,3,0,200,10.871389000,2600,0
