repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,6,0,0,200,15.402729000,2600,0
0,6,1,6,200,15.282489500,2600,2600
0,6,2,6,200,15.297621000,2600,2600
0,6,3,0,200,15.397770000,2600,0
0,10,0,0,200,15.411764500,2600,0
0,10,1,10,200,15.295050000,2600,2600
0,10,2,10,200,15.304570500,2600,2600
0,10,3,0,200,15.409906500,2600,0
0,12,0,0,200,15.423206000,2600,0
0,12,1,12,200,15.207065000,2600,2600
0,12,2,12,200,15.210455000,2600,2600
0,12,3,0,200,15.434211000,2600,0
1,6,0,0,200,15.430324000,2600,0
1,6,1,6,200,15.322605000,2600,2600
1,6,2,6,200,15.332023000,2600,2600
1,6,3,0,200,15.425258000,2600,0
1,10,0,0,200,15.439265000,2600,0
1,10,1,10,200,15.315792000,2600,2600
1,10,2,10,200,15.327167500,2600,2600
1,10,3,0,200,15.441762000,2600,0
1,12,0,0,200,15.440636500,2600,0
1,12,1,12,200,15.224387500,2600,2600
1,12,2,12,200,15.229861000,2600,2600
1,12,3,0,200,15.452788500,2600,0
2,6,0,0,200,15.444133500,2600,0
2,6,1,6,200,15.332643000,2600,2600
2,6,2,6,200,15.354571500,2600,2600
2,6,3,0,200,15.440150500,2600,0
2,10,0,0,200,15.431591500,2600,0
2,10,1,10,200,15.340727000,2600,2600
2,10,2,10,200,15.343666500,2600,2600
2,10,3,0,200,15.485466000,2600,0
2,12,0,0,200,15.431005000,2600,0
2,12,1,12,200,15.231364000,2600,2600
2,12,2,12,200,15.243141000,2600,2600
2,12,3,0,200,15.461648500,2600,0
