repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,6,0,0,200,15.415121500,2600,0
0,6,1,6,200,15.348343500,2600,2600
0,6,2,6,200,15.312435000,2600,2600
0,6,3,0,200,15.412254500,2600,0
0,9,0,0,200,15.437599000,2600,0
0,9,1,9,200,15.434698000,2600,2600
0,9,2,9,200,15.461081000,2600,2600
0,9,3,0,200,15.472862000,2600,0
0,10,0,0,200,15.437906000,2600,0
0,10,1,10,200,15.358009000,2600,2600
0,10,2,10,200,15.357682500,2600,2600
0,10,3,0,200,15.474961500,2600,0
0,11,0,0,200,15.491172500,2600,0
0,11,1,11,200,15.244836500,2600,2600
0,11,2,11,200,15.255819000,2600,2600
0,11,3,0,200,15.489345000,2600,0
1,6,0,0,200,15.492628500,2600,0
1,6,1,6,200,15.388955000,2600,2600
1,6,2,6,200,15.412496500,2600,2600
1,6,3,0,200,15.450614000,2600,0
1,9,0,0,200,15.479072000,2600,0
1,9,1,9,200,15.521398500,2600,2600
1,9,2,9,200,15.489698000,2600,2600
1,9,3,0,200,15.503662000,2600,0
1,10,0,0,200,15.495595500,2600,0
1,10,1,10,200,15.359417000,2600,2600
1,10,2,10,200,15.390866000,2600,2600
1,10,3,0,200,15.495282500,2600,0
1,11,0,0,200,15.492367500,2600,0
1,11,1,11,200,15.279246000,2600,2600
1,11,2,11,200,15.286044500,2600,2600
1,11,3,0,200,15.471573000,2600,0
2,6,0,0,200,15.511819000,2600,0
2,6,1,6,200,15.384207000,2600,2600
2,6,2,6,200,15.362064000,2600,2600
2,6,3,0,200,15.469546500,2600,0
2,9,0,0,200,15.452490500,2600,0
2,9,1,9,200,15.510653500,2600,2600
2,9,2,9,200,15.499823000,2600,2600
2,9,3,0,200,15.473205000,2600,0
2,10,0,0,200,15.507800500,2600,0
2,10,1,10,200,15.347982000,2600,2600
2,10,2,10,200,15.357388000,2600,2600
2,10,3,0,200,15.464831000,2600,0
2,11,0,0,200,15.504572500,2600,0
2,11,1,11,200,15.322056000,2600,2600
2,11,2,11,200,15.279423500,2600,2600
2,11,3,0,200,15.436698000,2600,0
