repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,6,0,0,200,10.685133500,2600,0
0,6,1,6,200,10.629256500,2600,2600
0,6,2,6,200,10.645604000,2600,2600
0,6,3,0,200,10.739391000,2600,0
0,7,0,0,200,10.744547500,2600,0
0,7,1,7,200,10.793242000,2600,2600
0,7,2,7,200,10.827190500,2600,2600
0,7,3,0,200,10.783435500,2600,0
0,8,0,0,200,10.793890000,2600,0
0,8,1,8,200,10.845464500,2600,2600
0,8,2,8,200,10.848046500,2600,2600
0,8,3,0,200,10.812234000,2600,0
1,6,0,0,200,10.827871500,2600,0
1,6,1,6,200,10.770251000,2600,2600
1,6,2,6,200,10.774548500,2600,2600
1,6,3,0,200,10.837938000,2600,0
1,7,0,0,200,10.838615000,2600,0
1,7,1,7,200,10.889894000,2600,2600
1,7,2,7,200,10.878523500,2600,2600
1,7,3,0,200,10.832538500,2600,0
1,8,0,0,200,10.849929000,2600,0
1,8,1,8,200,10.880039000,2600,2600
1,8,2,8,200,10.913823000,2600,2600
1,8,3,0,200,10.854437500,2600,0
2,6,0,0,200,10.855487000,2600,0
2,6,1,6,200,10.796634000,2600,2600
2,6,2,6,200,10.799379500,2600,2600
2,6,3,0,200,10.880410000,2600,0
2,7,0,0,200,10.867479000,2600,0
2,7,1,7,200,10.921716500,2600,2600
2,7,2,7,200,10.925637000,2600,2600
2,7,3,0,200,10.908422000,2600,0
2,8,0,0,200,10.918017500,2600,0
2,8,1,8,200,10.967104000,2600,2600
2,8,2,8,200,10.964792000,2600,2600
2,8,3,0,200,10.886089000,2600,0
