repeat,candidate,slot,mode,frames,ms,post_calls,pdl_calls
0,1,0,0,160,11.565456250,160,11880
0,1,1,1,160,11.589912500,160,23760
0,1,2,1,160,11.592831250,160,35640
0,1,3,0,160,11.634025000,160,47520
0,4,0,0,160,11.606156250,160,59400
0,4,1,4,160,11.616300000,160,71280
0,4,2,4,160,11.631750000,160,83160
0,4,3,0,160,11.661825000,160,95040
1,1,0,0,160,11.657643750,160,106920
1,1,1,1,160,11.660181250,160,118800
1,1,2,1,160,11.667793750,160,130680
1,1,3,0,160,11.691362500,160,142560
1,4,0,0,160,11.679606250,160,154440
1,4,1,4,160,11.699168750,160,166320
1,4,2,4,160,11.696781250,160,178200
1,4,3,0,160,11.697218750,160,190080
2,1,0,0,160,11.700575000,160,201960
2,1,1,1,160,11.694375000,160,213840
2,1,2,1,160,11.698956250,160,225720
2,1,3,0,160,11.747800000,160,237600
2,4,0,0,160,11.707462500,160,249480
2,4,1,4,160,11.729893750,160,261360
2,4,2,4,160,11.739543750,160,273240
2,4,3,0,160,11.718850000,160,285120
