repeat,candidate,slot,mode,frames,ms,diag_calls,pdl_calls
0,1,0,0,800,11.607535000,4800,54120
0,1,1,1,800,11.661138750,4800,108240
0,1,2,1,800,11.688768750,4800,162360
0,1,3,0,800,11.726018750,4800,216480
0,2,0,0,800,11.721108750,4800,270600
0,2,1,2,800,11.706461250,4800,324720
0,2,2,2,800,11.715098750,4800,378840
0,2,3,0,800,11.746096250,4800,432960
1,1,0,0,800,11.742223750,4800,487080
1,1,1,1,800,11.751656250,4800,541200
1,1,2,1,800,11.754861250,4800,595320
1,1,3,0,800,11.753127500,4800,649440
1,2,0,0,800,11.760782500,4800,703560
1,2,1,2,800,11.727021250,4800,757680
1,2,2,2,800,11.711035000,4800,811800
1,2,3,0,800,11.734102500,4800,865920
