phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
input,0,0,1,1,516,366.587209302,0,36179968
input,0,1,0,1,528,377.456439394,0,36179968
input,0,2,0,1,537,381.513966480,0,36179968
input,0,3,1,1,524,378.053435115,0,36179968
input,1,0,0,1,576,380.392361111,0,36179968
input,1,1,0,2,528,413.501893939,0,36179968
input,1,2,0,2,524,413.709923664,0,36179968
input,1,3,0,1,562,381.466192171,0,36179968
input,2,0,0,1,532,379.003759398,0,36179968
input,2,1,0,4,450,473.742222222,0,36179968
input,2,2,0,4,425,474.814117647,0,36179968
input,2,3,0,1,569,381.070298770,0,36179968
