kind,accumulators,groups,iterations,sample,launches,start_tick,end_tick,wall_ms,event_ms,flops_per_launch,wall_tflops,event_tflops
fp8,8,256,2048,0,17,196707156,196707343,184.435000000,183.836898804,4398046511104,405.382875749,406.701762134
fp8,8,256,2048,1,17,196707343,196707531,182.948000000,182.658737183,4398046511104,408.677824785,409.325016925
fp8,8,256,2048,2,17,196707531,196707718,183.554000000,183.358139038,4398046511104,407.328582808,407.763686308
fp8,8,256,2048,3,17,196707718,196707906,184.587000000,184.292892456,4398046511104,405.049059190,405.695464933
fp8,8,256,2048,4,17,196707906,196708078,184.480000000,184.229293823,4398046511104,405.283991158,405.835516910
fp8,8,256,2048,5,17,196708078,196708265,184.609000000,184.298889160,4398046511104,405.000789175,405.682264443
fp8,8,256,2048,6,17,196708265,196708453,184.482000000,184.335037231,4398046511104,405.279597407,405.602710216
fp8,8,256,2048,7,17,196708453,196708640,184.560000000,184.321426392,4398046511104,405.108315392,405.632661121
fp8,8,256,2048,8,17,196708640,196708828,184.724000000,184.519500732,4398046511104,404.748655772,405.197230602
